Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,1064,6.5,68,0,6.5,-100
2,2017,1064,5.3,68,0,5.3,-100
3,2017,1568,12.3,270,2.5,14.8,-83.1
4,2017,2387,1.3,557,18.5,19.8,-6.6
5,2017,2935,-12.4,403,42.6,30.2,41.1
6,2017,2630,-59.8,245,163.3,103.5,57.8
7,2017,2442,36.2,291,138.8,175,-20.7
8,2017,2390,-66.8,181,250.5,183.7,36.4
9,2017,2473,-2.5,203,155.7,153.2,1.6
10,2017,3732,-137.2,506,248.4,111.2,123.4
11,2017,4520,24.9,571,0,24.9,-100
12,2017,2397,4.8,286,0,4.8,-100
1,2018,1532,4.5,343,0,4.5,-100
2,2018,1089,5.3,88,0,5.3,-100
3,2018,1080,14,100,0.8,14.8,-94.6
4,2018,1193,-26.4,37,46.2,19.8,133.3
5,2018,1539,-12.8,288,43,30.2,42.4
6,2018,2297,47.8,209,55.7,103.5,-46.2
7,2018,2648,71.1,177,103.9,175,-40.6
8,2018,2155,37.2,177,146.5,183.7,-20.3
9,2018,1620,56.1,181,97.1,153.2,-36.6
10,2018,1961,70.4,167,40.8,111.2,-63.3
11,2018,2187,24.9,157,0,24.9,-100
12,2018,2168,-13.8,128,18.6,4.8,287.5
1,2019,2610,-3.9,279,8.4,4.5,86.7
2,2019,2425,3.6,148,1.7,5.3,-67.9
3,2019,2006,14.8,131,0,14.8,-100
4,2019,2227,-16.3,272,36.1,19.8,82.3
5,2019,2555,14.1,345,16.1,30.2,-46.7
6,2019,3080,-13.4,171,116.9,103.5,12.9
7,2019,3594,88.6,305,86.4,175,-50.6
8,2019,3377,26.3,518,157.4,183.7,-14.3
9,2019,2230,-186.5,142,339.7,153.2,121.7
10,2019,2848,-21.1,247,132.3,111.2,19
11,2019,3673,23.9,427,1,24.9,-96
12,2019,3652,0.1,657,4.7,4.8,-2.1
1,2020,2090,-17.6,178,22.1,4.5,391.1
2,2020,1676,3.2,99,2.1,5.3,-60.4
3,2020,1739,-0.6,203,15.4,14.8,4.1
4,2020,1913,-0.7,101,20.5,19.8,3.5
5,2020,2232,-0.6,91,30.8,30.2,2
6,2020,2423,-100.1,114,203.6,103.5,96.7
7,2020,2290,27.2,101,147.8,175,-15.5
8,2020,2303,-60.3,135,244,183.7,32.8
9,2020,2727,-39.9,405,193.1,153.2,26
10,2020,4774,-271.8,505,383,111.2,244.4
11,2020,3853,17.1,386,7.8,24.9,-68.7
12,2020,2703,4.8,510,0,4.8,-100
1,2021,1987,2.3,72,2.2,4.5,-51.1
2,2021,2268,-0.1,204,5.4,5.3,1.9
3,2021,2326,14.8,115,0,14.8,-100
4,2021,2226,-3.9,177,23.7,19.8,19.7
5,2021,2277,-72.9,99,103.1,30.2,241.4
6,2021,2527,-5.1,117,108.6,103.5,4.9
7,2021,2616,-159.3,139,334.3,175,91
8,2021,2465,54.1,80,129.6,183.7,-29.5
9,2021,2487,-80.8,111,234,153.2,52.7
10,2021,2587,-45.5,136,156.7,111.2,40.9
11,2021,3613,15.6,461,9.3,24.9,-62.7
12,2021,4213,4.8,489,0,4.8,-100
1,2022,3655,2.5,841,2,4.5,-55.6
2,2022,2664,5.3,429,0,5.3,-100
3,2022,1903,14.7,125,0.1,14.8,-99.3
4,2022,1833,13.6,76,6.2,19.8,-68.7
5,2022,2303,-21.5,393,51.7,30.2,71.2
6,2022,2993,18.9,207,84.6,103.5,-18.3
7,2022,3110,-200.6,170,375.6,175,114.6
8,2022,3329,96,271,87.7,183.7,-52.3
9,2022,3693,-47.7,186,200.9,153.2,31.1
10,2022,4810,-35.4,539,146.6,111.2,31.8
11,2022,2710,24.7,189,0.2,24.9,-99.2
12,2022,2610,-8.2,168,13,4.8,170.8
1,2023,2661,2.5,841,2,4.5,-55.6
2,2023,2278,5.3,429,0,5.3,-100
3,2023,2197,14.7,125,0.1,14.8,-99.3
4,2023,2433,13.6,76,6.2,19.8,-68.7
5,2023,2674,-21.5,393,51.7,30.2,71.2
6,2023,2800,18.9,207,84.6,103.5,-18.3
7,2023,2716,-200.6,170,375.6,175,114.6
1,2024,3100,2.5,0,2,4.5,-55.6
2,2024,2200,5.3,0,0,5.3,-100
3,2024,2000,14.7,0,0.1,14.8,-99.3
4,2024,1930,13.6,0,6.2,19.8,-68.7
5,2024,2100,-21.5,0,51.7,30.2,71.2
6,2024,3010,18.9,0,84.6,103.5,-18.3
7,2024,3110,-200.6,0,375.6,175,114.6
8,2024,3500,96,0,87.7,183.7,-52.3
9,2024,3400,-47.7,0,200.9,153.2,31.1
10,2024,3700,-35.4,0,146.6,111.2,31.8
11,2024,2900,24.7,0,0.2,24.9,-99.2
12,2024,2610,-8.2,0,13,4.8,170.8
