Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,2071,8.4,251,0,8.4,-100
2,2017,2071,7.4,251,0,7.4,-100
3,2017,2284,3.7,146,7,10.7,-34.6
4,2017,2153,13.5,155,1,14.5,-93.1
5,2017,2274,33.5,237,24.5,58,-57.8
6,2017,2913,-69.9,498,167.7,97.8,71.5
7,2017,1906,4.4,261,206.2,210.6,-2.1
8,2017,1313,33.6,242,179.2,212.8,-15.8
9,2017,1160,66.1,104,97.8,163.9,-40.3
10,2017,1855,59.2,500,103.5,162.7,-36.4
11,2017,1807,64.2,431,6.5,70.7,-90.8
12,2017,1597,15.9,207,0.1,16,-99.4
1,2018,1642,8.4,260,0,8.4,-100
2,2018,1618,7.4,116,0,7.4,-100
3,2018,1680,6.5,119,4.2,10.7,-60.7
4,2018,1687,11.3,120,3.2,14.5,-77.9
5,2018,2255,22.4,326,35.6,58,-38.6
6,2018,2887,-45.5,114,143.3,97.8,46.5
7,2018,2610,32.8,306,177.8,210.6,-15.6
8,2018,1835,-59.6,329,272.4,212.8,28
9,2018,1787,114.1,233,49.8,163.9,-69.6
10,2018,1987,136.4,145,26.3,162.7,-83.8
11,2018,1860,51.7,216,19,70.7,-73.1
12,2018,1871,-67.6,97,83.6,16,422.5
1,2019,2697,-9.4,292,17.8,8.4,111.9
2,2019,2657,2.2,143,5.2,7.4,-29.7
3,2019,2494,5.5,205,5.2,10.7,-51.4
4,2019,2180,9.6,81,4.9,14.5,-66.2
5,2019,2658,42.2,269,15.8,58,-72.8
6,2019,3573,51.1,160,46.7,97.8,-52.2
7,2019,2952,27,676,183.6,210.6,-12.8
8,2019,2094,37.7,453,175.1,212.8,-17.7
9,2019,1367,-25.4,115,189.3,163.9,15.5
10,2019,1877,-9.5,152,172.2,162.7,5.8
11,2019,2317,67,360,3.7,70.7,-94.8
12,2019,1826,13.5,191,2.5,16,-84.4
1,2020,1768,-2.3,105,10.7,8.4,27.4
2,2020,1417,-3.1,142,10.5,7.4,41.9
3,2020,1458,4,343,6.7,10.7,-37.4
4,2020,1887,-11.8,101,26.3,14.5,81.4
5,2020,2029,53.6,202,4.4,58,-92.4
6,2020,2727,-36.6,260,134.4,97.8,37.4
7,2020,2219,-95.4,250,306,210.6,45.3
8,2020,2432,40.9,310,171.9,212.8,-19.2
9,2020,3607,-55.6,243,219.5,163.9,33.9
10,2020,4013,-80.5,50,243.2,162.7,49.5
11,2020,2887,-41.2,744,111.9,70.7,58.3
12,2020,2310,15.4,234,0.6,16,-96.3
1,2021,1600,8.4,369,0,8.4,-100
2,2021,1614,3.1,163,4.3,7.4,-41.9
3,2021,1268,10.7,94,0,10.7,49.5
4,2021,1484,-156.6,100,171.1,14.5,58.3
5,2021,1787,-1.1,338,59.1,58,-96.3
6,2021,3133,-2.2,289,100,97.8,2.2
7,2021,2387,-58.7,102,269.3,210.6,27.9
8,2021,1632,33.2,504,179.6,212.8,-15.6
9,2021,1700,-54.1,432,218,163.9,33
10,2021,2239,78.4,175,84.3,162.7,-48.2
11,2021,2753,-58.4,296,129.1,70.7,82.6
12,2021,3681,15.6,226,0.4,16,-97.5
1,2022,2794,-22.5,323,30.9,8.4,267.7
2,2022,3143,7.35,653,0.05,7.4,-99.3
3,2022,2097,9.3,192,1.4,10.7,-86.9
4,2022,1927,14.4,98,0.1,14.5,-99.32
5,2022,2458,23.4,411,34.6,58,-40.3
6,2022,3260,20.9,150,76.9,97.8,-21.4
7,2022,2768,-79.6,172,290.2,210.6,37.8
8,2022,2845,64.9,235,147.9,212.8,-30.5
9,2022,2753,7.3,378,156.6,163.9,-4.5
10,2022,2723,-49.1,293,211.8,162.7,30.2
11,2022,2437,53.3,164,17.4,70.7,-75.4
12,2022,2161,-15.6,381,31.6,16,97.5
1,2023,2768,6.3,323,2.1,8.4,267.7
2,2023,2385,7.3,653,0.1,7.4,-99.3
3,2023,2713,-64.7,192,75.4,10.7,-86.9
4,2023,3013,-35.4,98,49.9,14.5,-99.32
5,2023,3265,-60.9,411,118.9,58,-40.3
6,2023,4353,4.6,150,93.2,97.8,-21.4
7,2023,4561,-157.53,172,368.13,210.6,37.8
1,2024,2645,-22.5,0,30.9,8.4,267.7
2,2024,3287,7.35,0,0.05,7.4,-99.3
3,2024,2893,9.3,0,1.4,10.7,-86.9
4,2024,1880,14.4,0,0.1,14.5,-99.32
5,2024,2587,23.4,0,34.6,58,-40.3
6,2024,3090,20.9,0,76.9,97.8,-21.4
7,2024,2111,-79.6,0,290.2,210.6,37.8
8,2024,2994,64.9,0,147.9,212.8,-30.5
9,2024,2683,7.3,0,156.6,163.9,-4.5
10,2024,2703,-49.1,0,211.8,162.7,30.2
11,2024,2590,53.3,0,17.4,70.7,-75.4
12,2024,2300,-15.6,0,31.6,16,97.5
