Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,857,8.4,225,0,8.4,-100
2,2017,857,7.4,225,0,7.4,-100
3,2017,603,3.7,66,7,10.7,-34.6
4,2017,567,13.5,66,1,14.5,-93.1
5,2017,716,33.5,157,24.5,58,-57.8
6,2017,1017,-69.9,296,167.7,97.8,71.5
7,2017,684,4.4,296,206.2,210.6,-2.1
8,2017,829,33.6,216,179.2,212.8,-15.8
9,2017,817,66.1,123,97.8,163.9,-40.3
10,2017,1210,59.2,354,103.5,162.7,-36.4
11,2017,947,64.2,128,6.5,70.7,-90.8
12,2017,855,15.9,109,0.1,16,-99.4
1,2018,671,8.4,132,0,8.4,-100
2,2018,729,7.4,71,0,7.4,-100
3,2018,643,6.5,119,4.2,10.7,-60.7
4,2018,743,11.3,183,3.2,14.5,-77.9
5,2018,777,22.4,163,35.6,58,-38.6
6,2018,957,-45.5,86,143.3,97.8,46.5
7,2018,771,32.8,46,177.8,210.6,-15.6
8,2018,1081,-59.6,576,272.4,212.8,28
9,2018,940,114.1,358,49.8,163.9,-69.6
10,2018,829,136.4,199,26.3,162.7,-83.8
11,2018,683,51.7,180,19,70.7,-73.1
12,2018,1077,-67.6,161,83.6,16,422.5
1,2019,1058,-9.4,277,17.8,8.4,111.9
2,2019,857,2.2,160,5.2,7.4,-29.7
3,2019,635,5.5,66,5.2,10.7,-51.4
4,2019,573,9.6,74,4.9,14.5,-66.2
5,2019,994,42.2,245,15.8,58,-72.8
6,2019,1463,51.1,277,46.7,97.8,-52.2
7,2019,1074,27,245,183.6,210.6,-12.8
8,2019,868,37.7,227,175.1,212.8,-17.7
9,2019,700,-25.4,144,189.3,163.9,15.5
10,2019,1274,-9.5,268,172.2,162.7,5.8
11,2019,1503,67,385,3.7,70.7,-94.8
12,2019,1239,13.5,294,2.5,16,-84.4
1,2020,810,-2.3,176,10.7,8.4,27.4
2,2020,800,-3.1,0,10.5,7.4,41.9
3,2020,852,4,163,6.7,10.7,-37.4
4,2020,1000,-11.8,0,26.3,14.5,81.4
5,2020,839,53.6,80,4.4,58,-92.4
6,2020,840,-36.6,81,134.4,97.8,37.4
7,2020,910,-95.4,178,306,210.6,45.3
8,2020,1277,40.9,189,171.9,212.8,-19.2
9,2020,2010,-55.6,263,219.5,163.9,33.9
10,2020,2106,-80.5,269,243.2,162.7,49.5
11,2020,1270,-41.2,558,111.9,70.7,58.3
12,2020,1177,15.4,527,0.6,16,-96.3
1,2021,819,8.4,95,0,8.4,-100
2,2021,957,3.1,84,4.3,7.4,-41.9
3,2021,845,10.7,85,0,10.7,49.5
4,2021,810,-156.6,114,171.1,14.5,58.3
5,2021,794,-1.1,129,59.1,58,-96.3
6,2021,927,-2.2,128,100,97.8,2.2
7,2021,1168,-58.7,347,269.3,210.6,27.9
8,2021,987,33.2,193,179.6,212.8,-15.6
9,2021,1180,-54.1,282,218,163.9,33
10,2021,1629,78.4,381,84.3,162.7,-48.2
11,2021,2163,-58.4,586,129.1,70.7,82.6
12,2021,2477,15.6,406,0.4,16,-97.5
1,2022,1232,-22.5,174,30.9,8.4,267.7
2,2022,1079,7.35,166,0.05,7.4,-99.3
3,2022,897,9.3,102,1.4,10.7,-86.9
4,2022,940,14.4,93,0.1,14.5,-99.32
5,2022,994,23.4,131,34.6,58,-40.3
6,2022,1083,20.9,160,76.9,97.8,-21.4
7,2022,1106,-79.6,234,290.2,210.6,37.8
8,2022,1052,64.9,179,147.9,212.8,-30.5
9,2022,1367,7.3,387,156.6,163.9,-4.5
10,2022,1129,-49.1,202,211.8,162.7,30.2
11,2022,1192,53.3,152,17.4,70.7,-75.4
12,2022,1323,-15.6,240,31.6,16,97.5
1,2023,1368,6.3,174,2.1,8.4,267.7
2,2023,1307,7.3,166,0.1,7.4,-99.3
3,2023,1119,-64.7,102,75.4,10.7,-86.9
4,2023,997,-35.4,93,49.9,14.5,-99.32
5,2023,900,-60.9,131,118.9,58,-40.3
6,2023,1223,4.6,160,93.2,97.8,-21.4
7,2023,1687,-157.53,234,368.13,210.6,37.8
1,2024,988,-22.5,0,30.9,8.4,267.7
2,2024,1140,7.35,0,0.05,7.4,-99.3
3,2024,876,9.3,0,1.4,10.7,-86.9
4,2024,883,14.4,0,0.1,14.5,-99.32
5,2024,890,23.4,0,34.6,58,-40.3
6,2024,1045,20.9,0,76.9,97.8,-21.4
7,2024,1168,-79.6,0,290.2,210.6,37.8
8,2024,987,64.9,0,147.9,212.8,-30.5
9,2024,1298,7.3,0,156.6,163.9,-4.5
10,2024,1629,-49.1,0,211.8,162.7,30.2
11,2024,2108,53.3,0,17.4,70.7,-75.4
12,2024,2207,-15.6,0,31.6,16,97.5
