Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,1146,8.4,206,0,8.4,-100
2,2017,1146,7.4,206,0,7.4,-100
3,2017,1610,3.7,239,7,10.7,-34.6
4,2017,1750,13.5,111,1,14.5,-93.1
5,2017,1984,33.5,202,24.5,58,-57.8
6,2017,2700,-69.9,558,167.7,97.8,71.5
7,2017,1923,4.4,608,206.2,210.6,-2.1
8,2017,2574,33.6,301,179.2,212.8,-15.8
9,2017,2090,66.1,489,97.8,163.9,-40.3
10,2017,3000,59.2,774,103.5,162.7,-36.4
11,2017,1760,64.2,965,6.5,70.7,-90.8
12,2017,1600,15.9,153,0.1,16,-99.4
1,2018,932,8.4,355,0,8.4,-100
2,2018,950,7.4,155,0,7.4,-100
3,2018,1040,6.5,97,4.2,10.7,-60.7
4,2018,1243,11.3,170,3.2,14.5,-77.9
5,2018,1394,22.4,169,35.6,58,-38.6
6,2018,1587,-45.5,312,143.3,97.8,46.5
7,2018,1777,32.8,352,177.8,210.6,-15.6
8,2018,2358,-59.6,739,272.4,212.8,28
9,2018,1570,114.1,360,49.8,163.9,-69.6
10,2018,2071,136.4,339,26.3,162.7,-83.8
11,2018,1663,51.7,275,19,70.7,-73.1
12,2018,2003,-67.6,243,83.6,16,422.5
1,2019,1400,-9.4,392,17.8,8.4,111.9
2,2019,1111,2.2,187,5.2,7.4,-29.7
3,2019,2197,5.5,469,5.2,10.7,-51.4
4,2019,1247,9.6,114,4.9,14.5,-66.2
5,2019,2165,42.2,454,15.8,58,-72.8
6,2019,2867,51.1,699,46.7,97.8,-52.2
7,2019,1881,27,755,183.6,210.6,-12.8
8,2019,1961,37.7,666,175.1,212.8,-17.7
9,2019,1527,-25.4,189,189.3,163.9,15.5
10,2019,2819,-9.5,391,172.2,162.7,5.8
11,2019,2620,67,425,3.7,70.7,-94.8
12,2019,1503,13.5,246,2.5,16,-84.4
1,2020,1813,-2.3,379,10.7,8.4,27.4
2,2020,1262,-3.1,240,10.5,7.4,41.9
3,2020,1371,4,368,6.7,10.7,-37.4
4,2020,1523,-11.8,265,26.3,14.5,81.4
5,2020,1403,53.6,164,4.4,58,-92.4
6,2020,1787,-36.6,270,134.4,97.8,37.4
7,2020,1619,-95.4,305,306,210.6,45.3
8,2020,2013,40.9,213,171.9,212.8,-19.2
9,2020,2167,-55.6,235,219.5,163.9,33.9
10,2020,3803,-80.5,607,243.2,162.7,49.5
11,2020,3013,-41.2,921,111.9,70.7,58.3
12,2020,2716,15.4,599,0.6,16,-96.3
1,2021,1503,8.4,677,0,8.4,-100
2,2021,1079,3.1,99,4.3,7.4,-41.9
3,2021,1000,10.7,0,0,10.7,49.5
4,2021,1387,-156.6,159,171.1,14.5,58.3
5,2021,1503,-1.1,212,59.1,58,-96.3
6,2021,2063,-2.2,317,100,97.8,2.2
7,2021,1694,-58.7,589,269.3,210.6,27.9
8,2021,1716,33.2,595,179.6,212.8,-15.6
9,2021,2077,-54.1,545,218,163.9,33
10,2021,2465,78.4,492,84.3,162.7,-48.2
11,2021,4067,-58.4,459,129.1,70.7,82.6
12,2021,5190,15.6,839,0.4,16,-97.5
1,2022,1658,-22.5,311,30.9,8.4,267.7
2,2022,2579,7.35,506,0.05,7.4,-99.3
3,2022,1306,9.3,161,1.4,10.7,-86.9
4,2022,2727,14.4,564,0.1,14.5,-99.32
5,2022,2058,23.4,620,34.6,58,-40.3
6,2022,2247,20.9,180,76.9,97.8,-21.4
7,2022,2013,-79.6,318,290.2,210.6,37.8
8,2022,2132,64.9,528,147.9,212.8,-30.5
9,2022,1757,7.3,404,156.6,163.9,-4.5
10,2022,2448,-49.1,499,211.8,162.7,30.2
11,2022,2155,53.3,228,17.4,70.7,-75.4
12,2022,2510,-15.6,1008,31.6,16,97.5
1,2023,2894,6.3,311,2.1,8.4,267.7
2,2023,1467,7.3,506,0.1,7.4,-99.3
3,2023,2484,-64.7,161,75.4,10.7,-86.9
4,2023,2100,-35.4,564,49.9,14.5,-99.32
5,2023,2110,-60.9,620,118.9,58,-40.3
6,2023,3233,4.6,180,93.2,97.8,-21.4
7,2023,2426,-157.53,318,368.13,210.6,37.8
1,2024,1741,-22.5,0,30.9,8.4,267.7
2,2024,2438,7.35,0,0.05,7.4,-99.3
3,2024,1402,9.3,0,1.4,10.7,-86.9
4,2024,2831,14.4,0,0.1,14.5,-99.32
5,2024,2087,23.4,0,34.6,58,-40.3
6,2024,2105,20.9,0,76.9,97.8,-21.4
7,2024,2209,-79.6,0,290.2,210.6,37.8
8,2024,2098,64.9,0,147.9,212.8,-30.5
9,2024,1895,7.3,0,156.6,163.9,-4.5
10,2024,2519,-49.1,0,211.8,162.7,30.2
11,2024,2349,53.3,0,17.4,70.7,-75.4
12,2024,2631,-15.6,0,31.6,16,97.5
