Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,3143,6.5,338,0,6.5,-100
2,2017,3143,5.3,338,0,5.3,-100
3,2017,3768,12.3,241,2.5,14.8,-83.1
4,2017,3613,1.3,170,18.5,19.8,-6.6
5,2017,3813,-12.4,50,42.6,30.2,41.1
6,2017,4233,-59.8,267,163.3,103.5,57.8
7,2017,4742,36.2,139,138.8,175,-20.7
8,2017,4548,-66.8,182,250.5,183.7,36.4
9,2017,4253,-2.5,183,155.7,153.2,1.6
10,2017,5784,-137.2,429,248.4,111.2,123.4
11,2017,5570,24.9,630,0,24.9,-100
12,2017,4206,4.8,57,0,4.8,-100
1,2018,3652,4.5,306,0,4.5,-100
2,2018,3336,5.3,145,0,5.3,-100
3,2018,3040,14,183,0.8,14.8,-94.6
4,2018,3757,-26.4,5566,46.2,19.8,133.3
5,2018,3071,-12.8,183,43,30.2,42.4
6,2018,4873,47.8,987,55.7,103.5,-46.2
7,2018,5768,71.1,252,103.9,175,-40.6
8,2018,5368,37.2,540,146.5,183.7,-20.3
9,2018,3647,56.1,168,97.1,153.2,-36.6
10,2018,3406,70.4,245,40.8,111.2,-63.3
11,2018,3107,24.9,227,0,24.9,-100
12,2018,3348,-13.8,354,18.6,4.8,287.5
1,2019,4219,-3.9,335,8.4,4.5,86.7
2,2019,4711,3.6,483,1.7,5.3,-67.9
3,2019,5503,14.8,348,0,14.8,-100
4,2019,5493,-16.3,221,36.1,19.8,82.3
5,2019,4606,14.1,434,16.1,30.2,-46.7
6,2019,4347,-13.4,389,116.9,103.5,12.9
7,2019,4735,88.6,123,86.4,175,-50.6
8,2019,4161,26.3,175,157.4,183.7,-14.3
9,2019,4000,-186.5,410,339.7,153.2,121.7
10,2019,5310,-21.1,388,132.3,111.2,19
11,2019,4740,23.9,424,1,24.9,-96
12,2019,4065,0.1,120,4.7,4.8,-2.1
1,2020,4219,-17.6,227,22.1,4.5,391.1
2,2020,4017,3.2,323,2.1,5.3,-60.4
3,2020,3694,-0.6,461,15.4,14.8,4.1
4,2020,3860,-0.7,329,20.5,19.8,3.5
5,2020,3819,-0.6,270,30.8,30.2,2
6,2020,6253,-100.1,977,203.6,103.5,96.7
7,2020,7290,27.2,237,147.8,175,-15.5
8,2020,6426,-60.3,241,244,183.7,32.8
9,2020,6033,-39.9,258,193.1,153.2,26
10,2020,7432,-271.8,764,383,111.2,244.4
11,2020,5660,17.1,646,7.8,24.9,-68.7
12,2020,4245,4.8,264,0,4.8,-100
1,2021,4232,2.3,156,2.2,4.5,-51.1
2,2021,4239,-0.1,228,5.4,5.3,1.9
3,2021,4013,14.8,102,0,14.8,-100
4,2021,4058,-3.9,92,23.7,19.8,19.7
5,2021,3890,-72.9,170,103.1,30.2,241.4
6,2021,4233,-5.1,223,108.6,103.5,4.9
7,2021,4526,-159.3,144,334.3,175,91
8,2021,4116,54.1,241,129.6,183.7,-29.5
9,2021,4693,-80.8,942,234,153.2,52.7
10,2021,7471,-45.5,789,156.7,111.2,40.9
11,2021,7877,15.6,734,9.3,24.9,-62.7
12,2021,7619,4.8,250,0,4.8,-100
1,2022,7206,2.5,540,2,4.5,-55.6
2,2022,7450,5.3,790,0,5.3,-100
3,2022,5942,14.7,1066,0.1,14.8,-99.3
4,2022,5990,13.6,529,6.2,19.8,-68.7
5,2022,6187,-21.5,200,51.7,30.2,71.2
6,2022,6853,18.9,884,84.6,103.5,-18.3
7,2022,6497,-200.6,739,375.6,175,114.6
8,2022,6787,96,805,87.7,183.7,-52.3
9,2022,6393,-47.7,941,200.9,153.2,31.1
10,2022,6500,-35.4,548,146.6,111.2,31.8
11,2022,5686,24.7,304,0.2,24.9,-99.2
12,2022,4671,-8.2,253,13,4.8,170.8
1,2023,4974,2.5,540,2,4.5,-55.6
2,2023,4622,5.3,790,0,5.3,-100
3,2023,5439,14.7,1066,0.1,14.8,-99.3
4,2023,5340,13.6,529,6.2,19.8,-68.7
5,2023,5152,-21.5,200,51.7,30.2,71.2
6,2023,7297,18.9,884,84.6,103.5,-18.3
7,2023,8129,-200.6,739,375.6,175,114.6
1,2024,7206,2.5,0,2,4.5,-55.6
2,2024,7450,5.3,0,0,5.3,-100
3,2024,5942,14.7,0,0.1,14.8,-99.3
4,2024,5990,13.6,0,6.2,19.8,-68.7
5,2024,6187,-21.5,0,51.7,30.2,71.2
6,2024,6853,18.9,0,84.6,103.5,-18.3
7,2024,6497,-200.6,0,375.6,175,114.6
8,2024,6787,96,0,87.7,183.7,-52.3
9,2024,6393,-47.7,0,200.9,153.2,31.1
10,2024,6500,-35.4,0,146.6,111.2,31.8
11,2024,5686,24.7,0,0.2,24.9,-99.2
12,2024,4671,-8.2,0,13,4.8,170.8
