Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,1350,6.5,126,0,6.5,-100
2,2017,1350,5.3,126,0,5.3,-100
3,2017,1519,12.3,214,2.5,14.8,-83.1
4,2017,2910,1.3,653,18.5,19.8,-6.6
5,2017,5123,-12.4,407,42.6,30.2,41.1
6,2017,6143,-59.8,478,163.3,103.5,57.8
7,2017,5584,36.2,403,138.8,175,-20.7
8,2017,4800,-66.8,437,250.5,183.7,36.4
9,2017,3097,-2.5,414,155.7,153.2,1.6
10,2017,4368,-137.2,1038,248.4,111.2,123.4
11,2017,6377,24.9,392,0,24.9,-100
12,2017,4019,4.8,666,0,4.8,-100
1,2018,3142,4.5,733,0,4.5,-100
2,2018,1704,5.3,195,0,5.3,-100
3,2018,1703,14,127,0.8,14.8,-94.6
4,2018,1790,-26.4,135,46.2,19.8,133.3
5,2018,2355,-12.8,267,43,30.2,42.4
6,2018,3243,47.8,317,55.7,103.5,-46.2
7,2018,3477,71.1,573,103.9,175,-40.6
8,2018,5126,37.2,581,146.5,183.7,-20.3
9,2018,3450,56.1,319,97.1,153.2,-36.6
10,2018,4094,70.4,330,40.8,111.2,-63.3
11,2018,3970,24.9,634,0,24.9,-100
12,2018,3206,-13.8,463,18.6,4.8,287.5
1,2019,2623,-3.9,255,8.4,4.5,86.7
2,2019,2486,3.6,176,1.7,5.3,-67.9
3,2019,2442,14.8,245,0,14.8,-100
4,2019,3220,-16.3,354,36.1,19.8,82.3
5,2019,4194,14.1,686,16.1,30.2,-46.7
6,2019,5800,-13.4,377,116.9,103.5,12.9
7,2019,6552,88.6,516,86.4,175,-50.6
8,2019,5613,26.3,332,157.4,183.7,-14.3
9,2019,4167,-186.5,674,339.7,153.2,121.7
10,2019,4535,-21.1,518,132.3,111.2,19
11,2019,5470,23.9,239,1,24.9,-96
12,2019,5416,0.1,275,4.7,4.8,-2.1
1,2020,5003,-17.6,661,22.1,4.5,391.1
2,2020,3600,3.2,438,2.1,5.3,-60.4
3,2020,3203,-0.6,472,15.4,14.8,4.1
4,2020,2800,-0.7,366,20.5,19.8,3.5
5,2020,2719,-0.6,138,30.8,30.2,2
6,2020,3620,-100.1,372,203.6,103.5,96.7
7,2020,4626,27.2,342,147.8,175,-15.5
8,2020,5535,-60.3,131,244,183.7,32.8
9,2020,5413,-39.9,467,193.1,153.2,26
10,2020,7055,-271.8,538,383,111.2,244.4
11,2020,5223,17.1,837,7.8,24.9,-68.7
12,2020,3926,4.8,1179,0,4.8,-100
1,2021,2694,2.3,188,2.2,4.5,-51.1
2,2021,2311,-0.1,152,5.4,5.3,1.9
3,2021,2148,14.8,115,0,14.8,-100
4,2021,2281,-3.9,151,23.7,19.8,19.7
5,2021,2790,-72.9,421,103.1,30.2,241.4
6,2021,4263,-5.1,300,108.6,103.5,4.9
7,2021,5455,-159.3,268,334.3,175,91
8,2021,5355,54.1,317,129.6,183.7,-29.5
9,2021,4593,-80.8,144,234,153.2,52.7
10,2021,5765,-45.5,162,156.7,111.2,40.9
11,2021,5833,15.6,223,9.3,24.9,-62.7
12,2021,6129,4.8,565,0,4.8,-100
1,2022,4974,2.5,1291,2,4.5,-55.6
2,2022,3439,5.3,370,0,5.3,-100
3,2022,2774,14.7,337,0.1,14.8,-99.3
4,2022,2903,13.6,214,6.2,19.8,-68.7
5,2022,3458,-21.5,686,51.7,30.2,71.2
6,2022,4557,18.9,411,84.6,103.5,-18.3
7,2022,5416,-200.6,950,375.6,175,114.6
8,2022,5745,96,392,87.7,183.7,-52.3
9,2022,6103,-47.7,470,200.9,153.2,31.1
10,2022,5919,-35.4,571,146.6,111.2,31.8
11,2022,4269,24.7,307,0.2,24.9,-99.2
12,2022,2758,-8.2,287,13,4.8,170.8
1,2023,2745,2.5,1291,2,4.5,-55.6
2,2023,2570,5.3,370,0,5.3,-100
3,2023,2203,14.7,337,0.1,14.8,-99.3
4,2023,2640,13.6,214,6.2,19.8,-68.7
5,2023,3723,-21.5,686,51.7,30.2,71.2
6,2023,4350,18.9,411,84.6,103.5,-18.3
7,2023,4045,-200.6,950,375.6,175,114.6
1,2024,2789,2.5,0,2,4.5,-55.6
2,2024,2317,5.3,0,0,5.3,-100
3,2024,2159,14.7,0,0.1,14.8,-99.3
4,2024,2264,13.6,0,6.2,19.8,-68.7
5,2024,2698,-21.5,0,51.7,30.2,71.2
6,2024,4062,18.9,0,84.6,103.5,-18.3
7,2024,5381,-200.6,0,375.6,175,114.6
8,2024,5217,96,0,87.7,183.7,-52.3
9,2024,4692,-47.7,0,200.9,153.2,31.1
10,2024,5841,-35.4,0,146.6,111.2,31.8
11,2024,5918,24.7,0,0.2,24.9,-99.2
12,2024,3874,-8.2,0,13,4.8,170.8
