Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,800,6.5,429,0,6.5,-100
2,2017,800,5.3,429,0,5.3,-100
3,2017,565,12.3,1063,2.5,14.8,-83.1
4,2017,2500,1.3,0,18.5,19.8,-6.6
5,2017,565,-12.4,1063,42.6,30.2,41.1
6,2017,0,-59.8,0,163.3,103.5,57.8
7,2017,194,36.2,601,138.8,175,-20.7
8,2017,645,-66.8,950,250.5,183.7,36.4
9,2017,0,-2.5,0,155.7,153.2,1.6
10,2017,1048,-137.2,477,248.4,111.2,123.4
11,2017,1237,24.9,67,0,24.9,-100
12,2017,1219,4.8,60,0,4.8,-100
1,2018,1123,4.5,204,0,4.5,-100
2,2018,993,5.3,246,0,5.3,-100
3,2018,1227,14,180,0.8,14.8,-94.6
4,2018,1173,-26.4,69,46.2,19.8,133.3
5,2018,0,-12.8,0,43,30.2,42.4
6,2018,0,47.8,0,55.7,103.5,-46.2
7,2018,0,71.1,0,103.9,175,-40.6
8,2018,0,37.2,0,146.5,183.7,-20.3
9,2018,1487,56.1,780,97.1,153.2,-36.6
10,2018,1768,70.4,322,40.8,111.2,-63.3
11,2018,987,24.9,117,0,24.9,-100
12,2018,1155,-13.8,203,18.6,4.8,287.5
1,2019,1313,-3.9,169,8.4,4.5,86.7
2,2019,1414,3.6,121,1.7,5.3,-67.9
3,2019,1777,14.8,72,0,14.8,-100
4,2019,527,-16.3,763,36.1,19.8,82.3
5,2019,1213,14.1,793,16.1,30.2,-46.7
6,2019,0,-13.4,0,116.9,103.5,12.9
7,2019,0,88.6,0,86.4,175,-50.6
8,2019,0,26.3,0,157.4,183.7,-14.3
9,2019,0,-186.5,0,339.7,153.2,121.7
10,2019,203,-21.1,545,132.3,111.2,19
11,2019,1467,23.9,55,1,24.9,-96
12,2019,1681,0.1,145,4.7,4.8,-2.1
1,2020,1342,-17.6,129,22.1,4.5,391.1
2,2020,1393,3.2,88,2.1,5.3,-60.4
3,2020,1690,-0.6,236,15.4,14.8,4.1
4,2020,2300,-0.7,305,20.5,19.8,3.5
5,2020,2600,-0.6,0,30.8,30.2,2
6,2020,2600,-100.1,0,203.6,103.5,96.7
7,2020,2994,27.2,36,147.8,175,-15.5
8,2020,3000,-60.3,0,244,183.7,32.8
9,2020,3477,-39.9,196,193.1,153.2,26
10,2020,3452,-271.8,269,383,111.2,244.4
11,2020,1750,17.1,401,7.8,24.9,-68.7
12,2020,1694,4.8,975,0,4.8,-100
1,2021,1345,2.3,251,2.2,4.5,-51.1
2,2021,1079,-0.1,99,5.4,5.3,1.9
3,2021,1452,14.8,103,0,14.8,-100
4,2021,774,-3.9,762,23.7,19.8,19.7
5,2021,0,-72.9,0,103.1,30.2,241.4
6,2021,0,-5.1,0,108.6,103.5,4.9
7,2021,0,-159.3,0,334.3,175,91
8,2021,0,54.1,0,129.6,183.7,-29.5
9,2021,833,-80.8,1199,234,153.2,52.7
10,2021,1832,-45.5,366,156.7,111.2,40.9
11,2021,2033,15.6,76,9.3,24.9,-62.7
12,2021,2013,4.8,102,0,4.8,-100
1,2022,2032,2.5,138,2,4.5,-55.6
2,2022,2371,5.3,167,0,5.3,-100
3,2022,2500,14.7,0,0.1,14.8,-99.3
4,2022,2500,13.6,0,6.2,19.8,-68.7
5,2022,3258,-21.5,313,51.7,30.2,71.2
6,2022,3117,18.9,215,84.6,103.5,-18.3
7,2022,3500,-200.6,0,375.6,175,114.6
8,2022,3177,96,330,87.7,183.7,-52.3
9,2022,3300,-47.7,385,200.9,153.2,31.1
10,2022,2752,-35.4,485,146.6,111.2,31.8
11,2022,1989,24.7,298,0.2,24.9,-99.2
12,2022,1368,-8.2,75,13,4.8,170.8
1,2023,1661,2.5,138,2,4.5,-55.6
2,2023,2030,5.3,167,0,5.3,-100
3,2023,2290,14.7,0,0.1,14.8,-99.3
4,2023,2933,13.6,0,6.2,19.8,-68.7
5,2023,3661,-21.5,313,51.7,30.2,71.2
6,2023,4000,18.9,215,84.6,103.5,-18.3
7,2023,4000,-200.6,0,375.6,175,114.6
1,2024,2143,2.5,0,2,4.5,-55.6
2,2024,2485,5.3,0,0,5.3,-100
3,2024,2541,14.7,0,0.1,14.8,-99.3
4,2024,2502,13.6,0,6.2,19.8,-68.7
5,2024,3189,-21.5,0,51.7,30.2,71.2
6,2024,3117,18.9,0,84.6,103.5,-18.3
7,2024,3475,-200.6,0,375.6,175,114.6
8,2024,3081,96,0,87.7,183.7,-52.3
9,2024,3298,-47.7,0,200.9,153.2,31.1
10,2024,2742,-35.4,0,146.6,111.2,31.8
11,2024,1900,24.7,0,0.2,24.9,-99.2
12,2024,1368,-8.2,0,13,4.8,170.8
