Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,500,8.4,0,0,8.4,-100
2,2017,500,7.4,0,0,7.4,-100
3,2017,500,3.7,0,7,10.7,-34.6
4,2017,1103,13.5,147,1,14.5,-93.1
5,2017,735,33.5,98,24.5,58,-57.8
6,2017,1413,-69.9,131,167.7,97.8,71.5
7,2017,671,4.4,260,206.2,210.6,-2.1
8,2017,1052,33.6,134,179.2,212.8,-15.8
9,2017,1160,66.1,387,97.8,163.9,-40.3
10,2017,1719,59.2,248,103.5,162.7,-36.4
11,2017,537,64.2,67,6.5,70.7,-90.8
12,2017,400,15.9,0,0.1,16,-99.4
1,2018,500,8.4,0,0,8.4,-100
2,2018,596,7.4,51,0,7.4,-100
3,2018,590,6.5,31,4.2,10.7,-60.7
4,2018,443,11.3,82,3.2,14.5,-77.9
5,2018,674,22.4,58,35.6,58,-38.6
6,2018,837,-45.5,154,143.3,97.8,46.5
7,2018,419,32.8,40,177.8,210.6,-15.6
8,2018,448,-59.6,51,272.4,212.8,28
9,2018,497,114.1,81,49.8,163.9,-69.6
10,2018,2039,136.4,571,26.3,162.7,-83.8
11,2018,600,51.7,0,19,70.7,-73.1
12,2018,400,-67.6,0,83.6,16,422.5
1,2019,500,-9.4,0,17.8,8.4,111.9
2,2019,811,2.2,88,5.2,7.4,-29.7
3,2019,471,5.5,78,5.2,10.7,-51.4
4,2019,887,9.6,114,4.9,14.5,-66.2
5,2019,865,42.2,71,15.8,58,-72.8
6,2019,1363,51.1,329,46.7,97.8,-52.2
7,2019,1423,27,491,183.6,210.6,-12.8
8,2019,629,37.7,59,175.1,212.8,-17.7
9,2019,1310,-25.4,96,189.3,163.9,15.5
10,2019,874,-9.5,118,172.2,162.7,5.8
11,2019,1263,67,425,3.7,70.7,-94.8
12,2019,626,13.5,146,2.5,16,-84.4
1,2020,326,-2.3,44,10.7,8.4,27.4
2,2020,690,-3.1,101,10.5,7.4,41.9
3,2020,435,4,49,6.7,10.7,-37.4
4,2020,453,-11.8,51,26.3,14.5,81.4
5,2020,884,53.6,216,4.4,58,-92.4
6,2020,1000,-36.6,111,134.4,97.8,37.4
7,2020,716,-95.4,37,306,210.6,45.3
8,2020,1300,40.9,165,171.9,212.8,-19.2
9,2020,1000,-55.6,74,219.5,163.9,33.9
10,2020,974,-80.5,58,243.2,162.7,49.5
11,2020,917,-41.2,38,111.9,70.7,58.3
12,2020,697,15.4,722,0.6,16,-96.3
1,2021,429,8.4,46,0,8.4,-100
2,2021,500,3.1,0,4.3,7.4,-41.9
3,2021,500,10.7,0,0,10.7,49.5
4,2021,603,-156.6,102,171.1,14.5,58.3
5,2021,690,-1.1,54,59.1,58,-96.3
6,2021,790,-2.2,80,100,97.8,2.2
7,2021,965,-58.7,162,269.3,210.6,27.9
8,2021,968,33.2,70,179.6,212.8,-15.6
9,2021,1000,-54.1,0,218,163.9,33
10,2021,1384,78.4,420,84.3,162.7,-48.2
11,2021,1057,-58.4,155,129.1,70.7,82.6
12,2021,726,15.6,171,0.4,16,-97.5
1,2022,500,-22.5,0,30.9,8.4,267.7
2,2022,500,7.35,0,0.05,7.4,-99.3
3,2022,500,9.3,0,1.4,10.7,-86.9
4,2022,740,14.4,113,0.1,14.5,-99.32
5,2022,948,23.4,143,34.6,58,-40.3
6,2022,990,20.9,169,76.9,97.8,-21.4
7,2022,800,-79.6,151,290.2,210.6,37.8
8,2022,1042,64.9,189,147.9,212.8,-30.5
9,2022,1630,7.3,636,156.6,163.9,-4.5
10,2022,813,-49.1,150,211.8,162.7,30.2
11,2022,813,53.3,147,17.4,70.7,-75.4
12,2022,716,-15.6,100,31.6,16,97.5
1,2023,532,6.3,0,2.1,8.4,267.7
2,2023,500,7.3,0,0.1,7.4,-99.3
3,2023,500,-64.7,0,75.4,10.7,-86.9
4,2023,723,-35.4,113,49.9,14.5,-99.32
5,2023,810,-60.9,143,118.9,58,-40.3
6,2023,1317,4.6,169,93.2,97.8,-21.4
7,2023,968,-157.53,151,368.13,210.6,37.8
1,2024,500,-22.5,0,30.9,8.4,267.7
2,2025,500,7.35,0,0.05,7.4,-99.3
3,2026,500,9.3,0,1.4,10.7,-86.9
4,2027,698,14.4,0,0.1,14.5,-99.32
5,2028,875,23.4,0,34.6,58,-40.3
6,2029,990,20.9,0,76.9,97.8,-21.4
7,2030,800,-79.6,0,290.2,210.6,37.8
8,2031,990,64.9,0,147.9,212.8,-30.5
9,2032,1200,7.3,0,156.6,163.9,-4.5
10,2033,813,-49.1,0,211.8,162.7,30.2
11,2034,850,53.3,0,17.4,70.7,-75.4
12,2035,735,-15.6,0,31.6,16,97.5
