Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,2589,6.5,283,0,6.5,-100
2,2017,2589,5.3,283,0,5.3,-100
3,2017,2006,12.3,141,2.5,14.8,-83.1
4,2017,1877,1.3,110,18.5,19.8,-6.6
5,2017,2329,-12.4,228,42.6,30.2,41.1
6,2017,3127,-59.8,226,163.3,103.5,57.8
7,2017,2365,36.2,313,138.8,175,-20.7
8,2017,1948,-66.8,163,250.5,183.7,36.4
9,2017,1947,-2.5,200,155.7,153.2,1.6
10,2017,2710,-137.2,386,248.4,111.2,123.4
11,2017,1947,24.9,315,0,24.9,-100
12,2017,1658,4.8,302,0,4.8,-100
1,2018,1390,4.5,294,0,4.5,-100
2,2018,2168,5.3,338,0,5.3,-100
3,2018,2717,14,366,0.8,14.8,-94.6
4,2018,2193,-26.4,392,46.2,19.8,133.3
5,2018,2800,-12.8,124,43,30.2,42.4
6,2018,2423,47.8,177,55.7,103.5,-46.2
7,2018,2765,71.1,302,103.9,175,-40.6
8,2018,2348,37.2,302,146.5,183.7,-20.3
9,2018,1800,56.1,141,97.1,153.2,-36.6
10,2018,2684,70.4,487,40.8,111.2,-63.3
11,2018,2407,24.9,338,0,24.9,-100
12,2018,2419,-13.8,294,18.6,4.8,287.5
1,2019,2406,-3.9,344,8.4,4.5,86.7
2,2019,2364,3.6,145,1.7,5.3,-67.9
3,2019,2429,14.8,384,0,14.8,-100
4,2019,2540,-16.3,298,36.1,19.8,82.3
5,2019,2877,14.1,169,16.1,30.2,-46.7
6,2019,3327,-13.4,338,116.9,103.5,12.9
7,2019,2884,88.6,134,86.4,175,-50.6
8,2019,2277,26.3,198,157.4,183.7,-14.3
9,2019,2587,-186.5,111,339.7,153.2,121.7
10,2019,2868,-21.1,384,132.3,111.2,19
11,2019,1780,23.9,142,1,24.9,-96
12,2019,2135,0.1,244,4.7,4.8,-2.1
1,2020,1826,-17.6,86,22.1,4.5,391.1
2,2020,1703,3.2,115,2.1,5.3,-60.4
3,2020,2297,-0.6,396,15.4,14.8,4.1
4,2020,2620,-0.7,121,20.5,19.8,3.5
5,2020,2677,-0.6,112,30.8,30.2,2
6,2020,2667,-100.1,308,203.6,103.5,96.7
7,2020,2323,27.2,133,147.8,175,-15.5
8,2020,3239,-60.3,377,244,183.7,32.8
9,2020,3833,-39.9,158,193.1,153.2,26
10,2020,2535,-271.8,366,383,111.2,244.4
11,2020,1760,17.1,81,7.8,24.9,-68.7
12,2020,2671,4.8,420,0,4.8,-100
1,2021,2239,2.3,411,2.2,4.5,-51.1
2,2021,2757,-0.1,114,5.4,5.3,1.9
3,2021,2390,14.8,122,0,14.8,-100
4,2021,2200,-3.9,52,23.7,19.8,19.7
5,2021,2471,-72.9,361,103.1,30.2,241.4
6,2021,3193,-5.1,193,108.6,103.5,4.9
7,2021,2961,-159.3,401,334.3,175,91
8,2021,2723,54.1,307,129.6,183.7,-29.5
9,2021,2987,-80.8,148,234,153.2,52.7
10,2021,2561,-45.5,150,156.7,111.2,40.9
11,2021,2393,15.6,83,9.3,24.9,-62.7
12,2021,2581,4.8,182,0,4.8,-100
1,2022,2400,2.5,0,2,4.5,-55.6
2,2022,2043,5.3,148,0,5.3,-100
3,2022,2729,14.7,395,0.1,14.8,-99.3
4,2022,3127,13.6,162,6.2,19.8,-68.7
5,2022,2906,-21.5,234,51.7,30.2,71.2
6,2022,2867,18.9,96,84.6,103.5,-18.3
7,2022,2903,-200.6,102,375.6,175,114.6
8,2022,3097,96,271,87.7,183.7,-52.3
9,2022,3647,-47.7,750,200.9,153.2,31.1
10,2022,2774,-35.4,681,146.6,111.2,31.8
11,2022,2685,24.7,129,0.2,24.9,-99.2
12,2022,4181,-8.2,901,13,4.8,170.8
1,2023,3735,2.5,0,2,4.5,-55.6
2,2023,3244,5.3,148,0,5.3,-100
3,2023,3216,14.7,395,0.1,14.8,-99.3
4,2023,2810,13.6,162,6.2,19.8,-68.7
5,2023,2835,-21.5,234,51.7,30.2,71.2
6,2023,3327,18.9,96,84.6,103.5,-18.3
7,2023,3381,-200.6,102,375.6,175,114.6
1,2024,2380,2.5,0,2,4.5,-55.6
2,2025,2071,5.3,0,0,5.3,-100
3,2026,2634,14.7,0,0.1,14.8,-99.3
4,2027,2905,13.6,0,6.2,19.8,-68.7
5,2028,2984,-21.5,0,51.7,30.2,71.2
6,2029,2941,18.9,0,84.6,103.5,-18.3
7,2030,2956,-200.6,0,375.6,175,114.6
8,2031,3081,96,0,87.7,183.7,-52.3
9,2032,3915,-47.7,0,200.9,153.2,31.1
10,2033,2931,-35.4,0,146.6,111.2,31.8
11,2034,2789,24.7,0,0.2,24.9,-99.2
12,2035,3914,-8.2,0,13,4.8,170.8
