Month,Year,Price,StdevPrice,Rainfall,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,457,50,8.4,0,8.4,-100
2,2017,457,50,7.4,0,7.4,-100
3,2017,419,48,3.7,7,10.7,-34.6
4,2017,300,0,13.5,1,14.5,-93.1
5,2017,332,48,33.5,24.5,58,-57.8
6,2017,377,86,-69.9,167.7,97.8,71.5
7,2017,565,55,4.4,206.2,210.6,-2.1
8,2017,577,43,33.6,179.2,212.8,-15.8
9,2017,727,162,66.1,97.8,163.9,-40.3
10,2017,1165,152,59.2,103.5,162.7,-36.4
11,2017,850,97,64.2,6.5,70.7,-90.8
12,2017,981,119,15.9,0.1,16,-99.4
1,2018,668,130,8.4,0,8.4,-100
2,2018,411,31,7.4,0,7.4,-100
3,2018,353,78,6.5,4.2,10.7,-60.7
4,2018,310,31,11.3,3.2,14.5,-77.9
5,2018,300,0,22.4,35.6,58,-38.6
6,2018,373,52,-45.5,143.3,97.8,46.5
7,2018,432,48,32.8,177.8,210.6,-15.6
8,2018,410,54,-59.6,272.4,212.8,28
9,2018,400,79,114.1,49.8,163.9,-69.6
10,2018,490,87,136.4,26.3,162.7,-83.8
11,2018,747,128,51.7,19,70.7,-73.1
12,2018,677,43,-67.6,83.6,16,422.5
1,2019,616,86,-9.4,17.8,8.4,111.9
2,2019,504,84,2.2,5.2,7.4,-29.7
3,2019,368,48,5.5,5.2,10.7,-51.4
4,2019,243,50,9.6,4.9,14.5,-66.2
5,2019,245,51,42.2,15.8,58,-72.8
6,2019,327,69,51.1,46.7,97.8,-52.2
7,2019,468,48,27,183.6,210.6,-12.8
8,2019,500,0,37.7,175.1,212.8,-17.7
9,2019,500,0,-25.4,189.3,163.9,15.5
10,2019,519,48,-9.5,172.2,162.7,5.8
11,2019,1030,207,67,3.7,70.7,-94.8
12,2019,1339,163,13.5,2.5,16,-84.4
1,2020,913,123,-2.3,10.7,8.4,27.4
2,2020,610,82,-3.1,10.5,7.4,41.9
3,2020,474,63,4,6.7,10.7,-37.4
4,2020,423,50,-11.8,26.3,14.5,81.4
5,2020,326,44,53.6,4.4,58,-92.4
6,2020,340,50,-36.6,134.4,97.8,37.4
7,2020,461,50,-95.4,306,210.6,45.3
8,2020,594,25,40.9,171.9,212.8,-19.2
9,2020,693,25,-55.6,219.5,163.9,33.9
10,2020,645,62,-80.5,243.2,162.7,49.5
11,2020,700,91,-41.2,111.9,70.7,58.3
12,2020,555,906,15.4,0.6,16,-96.3
1,2021,1000,0,8.4,0,8.4,-100
2,2021,821,79,3.1,4.3,7.4,-41.9
3,2021,590,83,10.7,0,10.7,49.5
4,2021,348,85,-156.6,171.1,14.5,58.3
5,2021,313,34,-1.1,59.1,58,-96.3
6,2021,577,77,-2.2,100,97.8,2.2
7,2021,500,73,-58.7,269.3,210.6,27.9
8,2021,471,69,33.2,179.6,212.8,-15.6
9,2021,500,0,-54.1,218,163.9,33
10,2021,687,43,78.4,84.3,162.7,-48.2
11,2021,913,111,-58.4,129.1,70.7,82.6
12,2021,1481,233,15.6,0.4,16,-97.5
1,2022,1219,149,-22.5,30.9,8.4,267.7
2,2022,993,228,7.35,0.05,7.4,-99.3
3,2022,800,253,9.3,1.4,10.7,-86.9
4,2022,403,85,14.4,0.1,14.5,-99.32
5,2022,397,98,23.4,34.6,58,-40.3
6,2022,500,0,20.9,76.9,97.8,-21.4
7,2022,500,0,-79.6,290.2,210.6,37.8
8,2022,500,0,64.9,147.9,212.8,-30.5
9,2022,760,165,7.3,156.6,163.9,-4.5
10,2022,903,102,-49.1,211.8,162.7,30.2
11,2022,629,167,53.3,17.4,70.7,-75.4
12,2022,1490,206,-15.6,31.6,16,97.5
1,2023,1403,6.3,-22.5,2.1,8.4,267.7
2,2023,1067,7.3,7.35,0.1,7.4,-99.3
3,2023,903,-64.7,9.3,75.4,10.7,-86.9
4,2023,523,-35.4,14.4,49.9,14.5,-99.32
5,2023,523,-60.9,23.4,118.9,58,-40.3
6,2023,670,4.6,20.9,93.2,97.8,-21.4
7,2023,687,-157.53,-79.6,368.13,210.6,37.8
1,2024,1390,149,0,30.9,8.4,267.7
2,2024,1072,228,0,0.05,7.4,-99.3
3,2024,904,253,0,1.4,10.7,-86.9
4,2024,503,85,0,0.1,14.5,-99.32
5,2024,472,98,0,34.6,58,-40.3
6,2024,500,0,0,76.9,97.8,-21.4
7,2024,506,0,0,290.2,210.6,37.8
8,2024,500,0,0,147.9,212.8,-30.5
9,2024,783,165,0,156.6,163.9,-4.5
10,2024,903,102,0,211.8,162.7,30.2
11,2024,621,167,0,17.4,70.7,-75.4
12,2024,1390,206,0,31.6,16,97.5
