Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,2871,8.4,98,0,8.4,-100
2,2017,2871,7.4,98,0,7.4,-100
3,2017,2948,3.7,115,7,10.7,-34.6
4,2017,3513,13.5,101,1,14.5,-93.1
5,2017,4039,33.5,270,24.5,58,-57.8
6,2017,4330,-69.9,378,167.7,97.8,71.5
7,2017,3006,4.4,385,206.2,210.6,-2.1
8,2017,2452,33.6,51,179.2,212.8,-15.8
9,2017,2200,66.1,53,97.8,163.9,-40.3
10,2017,2213,59.2,72,103.5,162.7,-36.4
11,2017,1947,64.2,157,6.5,70.7,-90.8
12,2017,2058,15.9,247,0.1,16,-99.4
1,2018,2394,8.4,25,0,8.4,-100
2,2018,2214,7.4,36,0,7.4,-100
3,2018,2340,6.5,122,4.2,10.7,-60.7
4,2018,2293,11.3,101,3.2,14.5,-77.9
5,2018,2232,22.4,128,35.6,58,-38.6
6,2018,2470,-45.5,95,143.3,97.8,46.5
7,2018,2174,32.8,124,177.8,210.6,-15.6
8,2018,2019,-59.6,95,272.4,212.8,28
9,2018,1813,114.1,90,49.8,163.9,-69.6
10,2018,1710,136.4,94,26.3,162.7,-83.8
11,2018,1680,51.7,154,19,70.7,-73.1
12,2018,1748,-67.6,136,83.6,16,422.5
1,2019,1742,-9.4,92,17.8,8.4,111.9
2,2019,1721,2.2,99,5.2,7.4,-29.7
3,2019,1606,5.5,25,5.2,10.7,-51.4
4,2019,1860,9.6,175,4.9,14.5,-66.2
5,2019,1903,42.2,145,15.8,58,-72.8
6,2019,2433,51.1,278,46.7,97.8,-52.2
7,2019,2277,27,286,183.6,210.6,-12.8
8,2019,1890,37.7,101,175.1,212.8,-17.7
9,2019,1900,-25.4,102,189.3,163.9,15.5
10,2019,1961,-9.5,150,172.2,162.7,5.8
11,2019,2200,67,189,3.7,70.7,-94.8
12,2019,1935,13.5,95,2.5,16,-84.4
1,2020,1981,-2.3,166,10.7,8.4,27.4
2,2020,2000,-3.1,0,10.5,7.4,41.9
3,2020,1884,4,100,6.7,10.7,-37.4
4,2020,2127,-11.8,162,26.3,14.5,81.4
5,2020,2116,53.6,100,4.4,58,-92.4
6,2020,1940,-36.6,93,134.4,97.8,37.4
7,2020,2000,-95.4,0,306,210.6,45.3
8,2020,2097,40.9,102,171.9,212.8,-19.2
9,2020,2200,-55.6,0,219.5,163.9,33.9
10,2020,2045,-80.5,85,243.2,162.7,49.5
11,2020,1967,-41.2,140,111.9,70.7,58.3
12,2020,1955,15.4,836,0.6,16,-96.3
1,2021,1800,8.4,0,0,8.4,-100
2,2021,1786,3.1,52,4.3,7.4,-41.9
3,2021,1542,10.7,92,0,10.7,49.5
4,2021,1600,-156.6,0,171.1,14.5,58.3
5,2021,1697,-1.1,145,59.1,58,-96.3
6,2021,2313,-2.2,136,100,97.8,2.2
7,2021,2400,-58.7,0,269.3,210.6,27.9
8,2021,2226,33.2,68,179.6,212.8,-15.6
9,2021,2200,-54.1,0,218,163.9,33
10,2021,2200,78.4,0,84.3,162.7,-48.2
11,2021,2200,-58.4,0,129.1,70.7,82.6
12,2021,2065,15.6,95,0.4,16,-97.5
1,2022,2000,-22.5,0,30.9,8.4,267.7
2,2022,2000,7.35,0,0.05,7.4,-99.3
3,2022,2181,9.3,60,1.4,10.7,-86.9
4,2022,2380,14.4,61,0.1,14.5,-99.32
5,2022,2510,23.4,154,34.6,58,-40.3
6,2022,2940,20.9,93,76.9,97.8,-21.4
7,2022,2974,-79.6,68,290.2,210.6,37.8
8,2022,3065,64.9,95,147.9,212.8,-30.5
9,2022,2553,7.3,256,156.6,163.9,-4.5
10,2022,2432,-49.1,75,211.8,162.7,30.2
11,2022,2156,53.3,153,17.4,70.7,-75.4
12,2022,2548,-15.6,136,31.6,16,97.5
1,2023,2452,6.3,0,2.1,8.4,267.7
2,2023,3000,7.3,0,0.1,7.4,-99.3
3,2023,3565,-64.7,60,75.4,10.7,-86.9
4,2023,3663,-35.4,61,49.9,14.5,-99.32
5,2023,4561,-60.9,154,118.9,58,-40.3
6,2023,4907,4.6,93,93.2,97.8,-21.4
7,2023,4458,-157.53,68,368.13,210.6,37.8
1,2024,2100,-22.5,0,30.9,8.4,267.7
2,2024,1894,7.35,0,0.05,7.4,-99.3
3,2024,1687,9.3,0,1.4,10.7,-86.9
4,2024,1745,14.4,0,0.1,14.5,-99.32
5,2024,1697,23.4,0,34.6,58,-40.3
6,2024,2456,20.9,0,76.9,97.8,-21.4
7,2024,2586,-79.6,0,290.2,210.6,37.8
8,2024,2395,64.9,0,147.9,212.8,-30.5
9,2024,2531,7.3,0,156.6,163.9,-4.5
10,2024,2798,-49.1,0,211.8,162.7,30.2
11,2024,3082,53.3,0,17.4,70.7,-75.4
12,2024,2681,-15.6,0,31.6,16,97.5
