Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,2886,6.5,148,0,6.5,-100
2,2017,2886,5.3,148,0,5.3,-100
3,2017,4874,12.3,819,2.5,14.8,-83.1
4,2017,6623,1.3,1358,18.5,19.8,-6.6
5,2017,10000,-12.4,975,42.6,30.2,41.1
6,2017,6643,-59.8,861,163.3,103.5,57.8
7,2017,5097,36.2,425,138.8,175,-20.7
8,2017,5335,-66.8,424,250.5,183.7,36.4
9,2017,4987,-2.5,817,155.7,153.2,1.6
10,2017,5997,-137.2,487,248.4,111.2,123.4
11,2017,4677,24.9,481,0,24.9,-100
12,2017,4026,4.8,752,0,4.8,-100
1,2018,2313,4.5,188,0,4.5,-100
2,2018,2761,5.3,418,0,5.3,-100
3,2018,3387,14,608,0.8,14.8,-94.6
4,2018,4217,-26.4,302,46.2,19.8,133.3
5,2018,6197,-12.8,825,43,30.2,42.4
6,2018,5707,47.8,277,55.7,103.5,-46.2
7,2018,4987,71.1,381,103.9,175,-40.6
8,2018,3810,37.2,374,146.5,183.7,-20.3
9,2018,2957,56.1,249,97.1,153.2,-36.6
10,2018,3974,70.4,644,40.8,111.2,-63.3
11,2018,3520,24.9,261,0,24.9,-100
12,2018,3755,-13.8,229,18.6,4.8,287.5
1,2019,4194,-3.9,578,8.4,4.5,86.7
2,2019,4300,3.6,488,1.7,5.3,-67.9
3,2019,6694,14.8,1703,0,14.8,-100
4,2019,10140,-16.3,1258,36.1,19.8,82.3
5,2019,9342,14.1,778,16.1,30.2,-46.7
6,2019,10393,-13.4,1324,116.9,103.5,12.9
7,2019,6058,88.6,701,86.4,175,-50.6
8,2019,5077,26.3,184,157.4,183.7,-14.3
9,2019,5000,-186.5,1064,339.7,153.2,121.7
10,2019,4226,-21.1,899,132.3,111.2,19
11,2019,3443,23.9,479,1,24.9,-96
12,2019,4855,0.1,749,4.7,4.8,-2.1
1,2020,4819,-17.6,359,22.1,4.5,391.1
2,2020,3759,3.2,291,2.1,5.3,-60.4
3,2020,4319,-0.6,1161,15.4,14.8,4.1
4,2020,6853,-0.7,240,20.5,19.8,3.5
5,2020,7574,-0.6,169,30.8,30.2,2
6,2020,6727,-100.1,1099,203.6,103.5,96.7
7,2020,4342,27.2,254,147.8,175,-15.5
8,2020,5535,-60.3,753,244,183.7,32.8
9,2020,6640,-39.9,629,193.1,153.2,26
10,2020,4865,-271.8,454,383,111.2,244.4
11,2020,3480,17.1,673,7.8,24.9,-68.7
12,2020,4303,4.8,881,0,4.8,-100
1,2021,4626,2.3,610,2.2,4.5,-51.1
2,2021,4729,-0.1,299,5.4,5.3,1.9
3,2021,3974,14.8,134,0,14.8,-100
4,2021,4752,-3.9,598,23.7,19.8,19.7
5,2021,5855,-72.9,1151,103.1,30.2,241.4
6,2021,7547,-5.1,520,108.6,103.5,4.9
7,2021,5406,-159.3,662,334.3,175,91
8,2021,4474,54.1,597,129.6,183.7,-29.5
9,2021,4927,-80.8,649,234,153.2,52.7
10,2021,5394,-45.5,775,156.7,111.2,40.9
11,2021,5813,15.6,824,9.3,24.9,-62.7
12,2021,7406,4.8,601,0,4.8,-100
1,2022,5084,2.5,312,2,4.5,-55.6
2,2022,3593,5.3,674,0,5.3,-100
3,2022,4161,14.7,680,0.1,14.8,-99.3
4,2022,6460,13.6,333,6.2,19.8,-68.7
5,2022,7416,-21.5,1258,51.7,30.2,71.2
6,2022,6387,18.9,737,84.6,103.5,-18.3
7,2022,7068,-200.6,746,375.6,175,114.6
8,2022,6977,96,1752,87.7,183.7,-52.3
9,2022,6873,-47.7,1278,200.9,153.2,31.1
10,2022,6152,-35.4,827,146.6,111.2,31.8
11,2022,5599,24.7,295,0.2,24.9,-99.2
12,2022,5068,-8.2,1598,13,4.8,170.8
1,2023,4871,2.5,312,2,4.5,-55.6
2,2023,4941,5.3,674,0,5.3,-100
3,2023,6458,14.7,680,0.1,14.8,-99.3
4,2023,7757,13.6,333,6.2,19.8,-68.7
5,2023,7513,-21.5,1258,51.7,30.2,71.2
6,2023,10140,18.9,737,84.6,103.5,-18.3
7,2023,8884,-200.6,746,375.6,175,114.6
1,2024,6943,2.5,0,2,4.5,-55.6
2,2024,3681,5.3,0,0,5.3,-100
3,2024,4379,14.7,0,0.1,14.8,-99.3
4,2024,6328,13.6,0,6.2,19.8,-68.7
5,2024,7432,-21.5,0,51.7,30.2,71.2
6,2024,6206,18.9,0,84.6,103.5,-18.3
7,2024,7284,-200.6,0,375.6,175,114.6
8,2024,6994,96,0,87.7,183.7,-52.3
9,2024,6873,-47.7,0,200.9,153.2,31.1
10,2024,6152,-35.4,0,146.6,111.2,31.8
11,2024,5843,24.7,0,0.2,24.9,-99.2
12,2024,5319,-8.2,0,13,4.8,170.8
