Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,1229,8.4,115,0,8.4,-100
2,2017,1229,7.4,115,0,7.4,-100
3,2017,1658,3.7,203,7,10.7,-34.6
4,2017,870,13.5,277,1,14.5,-93.1
5,2017,984,33.5,146,24.5,58,-57.8
6,2017,1137,-69.9,213,167.7,97.8,71.5
7,2017,1210,4.4,540,206.2,210.6,-2.1
8,2017,1590,33.6,289,179.2,212.8,-15.8
9,2017,1257,66.1,125,97.8,163.9,-40.3
10,2017,2245,59.2,775,103.5,162.7,-36.4
11,2017,1640,64.2,412,6.5,70.7,-90.8
12,2017,1658,15.9,346,0.1,16,-99.4
1,2018,1568,8.4,296,0,8.4,-100
2,2018,1389,7.4,173,0,7.4,-100
3,2018,1520,6.5,261,4.2,10.7,-60.7
4,2018,1467,11.3,254,3.2,14.5,-77.9
5,2018,1152,22.4,100,35.6,58,-38.6
6,2018,1250,-45.5,257,143.3,97.8,46.5
7,2018,1313,32.8,219,177.8,210.6,-15.6
8,2018,1623,-59.6,426,272.4,212.8,28
9,2018,1240,114.1,306,49.8,163.9,-69.6
10,2018,1165,136.4,194,26.3,162.7,-83.8
11,2018,1453,51.7,1453,19,70.7,-73.1
12,2018,1945,-67.6,262,83.6,16,422.5
1,2019,2177,-9.4,574,17.8,8.4,111.9
2,2019,2164,2.2,517,5.2,7.4,-29.7
3,2019,1684,5.5,339,5.2,10.7,-51.4
4,2019,1507,9.6,207,4.9,14.5,-66.2
5,2019,1948,42.2,358,15.8,58,-72.8
6,2019,1810,51.1,429,46.7,97.8,-52.2
7,2019,1523,27,464,183.6,210.6,-12.8
8,2019,1677,37.7,295,175.1,212.8,-17.7
9,2019,1450,-25.4,262,189.3,163.9,15.5
10,2019,2174,-9.5,668,172.2,162.7,5.8
11,2019,2550,67,836,3.7,70.7,-94.8
12,2019,1845,13.5,210,2.5,16,-84.4
1,2020,2084,-2.3,282,10.7,8.4,27.4
2,2020,1897,-3.1,206,10.5,7.4,41.9
3,2020,1616,4,397,6.7,10.7,-37.4
4,2020,1663,-11.8,230,26.3,14.5,81.4
5,2020,1123,53.6,161,4.4,58,-92.4
6,2020,1310,-36.6,281,134.4,97.8,37.4
7,2020,1361,-95.4,433,306,210.6,45.3
8,2020,2271,40.9,739,171.9,212.8,-19.2
9,2020,2130,-55.6,658,219.5,163.9,33.9
10,2020,3032,-80.5,573,243.2,162.7,49.5
11,2020,1810,-41.2,700,111.9,70.7,58.3
12,2020,2232,15.4,1039,0.6,16,-96.3
1,2021,2032,8.4,214,0,8.4,-100
2,2021,2286,3.1,544,4.3,7.4,-41.9
3,2021,1313,10.7,123,0,10.7,49.5
4,2021,1403,-156.6,120,171.1,14.5,58.3
5,2021,1158,-1.1,278,59.1,58,-96.3
6,2021,1930,-2.2,394,100,97.8,2.2
7,2021,1284,-58.7,396,269.3,210.6,27.9
8,2021,1565,33.2,178,179.6,212.8,-15.6
9,2021,1820,-54.1,369,218,163.9,33
10,2021,2200,78.4,383,84.3,162.7,-48.2
11,2021,3570,-58.4,901,129.1,70.7,82.6
12,2021,4716,15.6,663,0.4,16,-97.5
1,2022,3148,-22.5,952,30.9,8.4,267.7
2,2022,3336,7.35,1271,0.05,7.4,-99.3
3,2022,1558,9.3,99,1.4,10.7,-86.9
4,2022,1863,14.4,539,0.1,14.5,-99.32
5,2022,1600,23.4,326,34.6,58,-40.3
6,2022,1703,20.9,287,76.9,97.8,-21.4
7,2022,1477,-79.6,211,290.2,210.6,37.8
8,2022,2103,64.9,458,147.9,212.8,-30.5
9,2022,2087,7.3,718,156.6,163.9,-4.5
10,2022,2765,-49.1,538,211.8,162.7,30.2
11,2022,2034,53.3,300,17.4,70.7,-75.4
12,2022,2871,-15.6,1014,31.6,16,97.5
1,2023,3381,6.3,952,2.1,8.4,267.7
2,2023,2044,7.3,1271,0.1,7.4,-99.3
3,2023,3261,-64.7,99,75.4,10.7,-86.9
4,2023,1587,-35.4,539,49.9,14.5,-99.32
5,2023,1381,-60.9,326,118.9,58,-40.3
6,2023,2273,4.6,287,93.2,97.8,-21.4
7,2023,1800,-157.53,211,368.13,210.6,37.8
1,2024,2704,-22.5,0,30.9,8.4,267.7
2,2024,3198,7.35,0,0.05,7.4,-99.3
3,2024,1645,9.3,0,1.4,10.7,-86.9
4,2024,1884,14.4,0,0.1,14.5,-99.32
5,2024,1659,23.4,0,34.6,58,-40.3
6,2024,1723,20.9,0,76.9,97.8,-21.4
7,2024,1482,-79.6,0,290.2,210.6,37.8
8,2024,2205,64.9,0,147.9,212.8,-30.5
9,2024,2064,7.3,0,156.6,163.9,-4.5
10,2024,2781,-49.1,0,211.8,162.7,30.2
11,2024,2910,53.3,0,17.4,70.7,-75.4
12,2024,2845,-15.6,0,31.6,16,97.5
