Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,1589,8.4,270,0,8.4,-100
2,2017,1589,7.4,270,0,7.4,-100
3,2017,2632,3.7,651,7,10.7,-34.6
4,2017,1467,13.5,1711,1,14.5,-93.1
5,2017,0,33.5,0,24.5,58,-57.8
6,2017,0,-69.9,0,167.7,97.8,71.5
7,2017,1439,4.4,2486,206.2,210.6,-2.1
8,2017,3813,33.6,273,179.2,212.8,-15.8
9,2017,4093,66.1,261,97.8,163.9,-40.3
10,2017,4923,59.2,1063,103.5,162.7,-36.4
11,2017,4283,64.2,1280,6.5,70.7,-90.8
12,2017,3013,15.9,500,0.1,16,-99.4
1,2018,1665,8.4,523,0,8.4,-100
2,2018,1525,7.4,237,0,7.4,-100
3,2018,2403,6.5,240,4.2,10.7,-60.7
4,2018,3580,11.3,401,3.2,14.5,-77.9
5,2018,0,22.4,0,35.6,58,-38.6
6,2018,0,-45.5,0,143.3,97.8,46.5
7,2018,1645,32.8,1861,177.8,210.6,-15.6
8,2018,4058,-59.6,1348,272.4,212.8,28
9,2018,3227,114.1,797,49.8,163.9,-69.6
10,2018,4619,136.4,742,26.3,162.7,-83.8
11,2018,3247,51.7,3247,19,70.7,-73.1
12,2018,3197,-67.6,496,83.6,16,422.5
1,2019,2732,-9.4,711,17.8,8.4,111.9
2,2019,1936,2.2,267,5.2,7.4,-29.7
3,2019,3310,5.5,896,5.2,10.7,-51.4
4,2019,4920,9.6,954,4.9,14.5,-66.2
5,2019,4619,42.2,1240,15.8,58,-72.8
6,2019,5740,51.1,311,46.7,97.8,-52.2
7,2019,5784,27,293,183.6,210.6,-12.8
8,2019,4213,37.7,1206,175.1,212.8,-17.7
9,2019,3780,-25.4,569,189.3,163.9,15.5
10,2019,4935,-9.5,294,172.2,162.7,5.8
11,2019,5107,67,810,3.7,70.7,-94.8
12,2019,3194,13.5,574,2.5,16,-84.4
1,2020,3490,-2.3,821,10.7,8.4,27.4
2,2020,3138,-3.1,431,10.5,7.4,41.9
3,2020,2923,4,882,6.7,10.7,-37.4
4,2020,4700,-11.8,389,26.3,14.5,81.4
5,2020,5400,53.6,0,4.4,58,-92.4
6,2020,6323,-36.6,682,134.4,97.8,37.4
7,2020,3758,-95.4,819,306,210.6,45.3
8,2020,5106,40.9,753,171.9,212.8,-19.2
9,2020,6070,-55.6,692,219.5,163.9,33.9
10,2020,6874,-80.5,423,243.2,162.7,49.5
11,2020,6830,-41.2,1051,111.9,70.7,58.3
12,2020,4674,15.4,2170,0.6,16,-96.3
1,2021,3277,8.4,211,0,8.4,-100
2,2021,3607,3.1,285,4.3,7.4,-41.9
3,2021,2677,10.7,433,0,10.7,49.5
4,2021,3529,-156.6,497,171.1,14.5,58.3
5,2021,2723,-1.1,1910,59.1,58,-96.3
6,2021,0,-2.2,0,100,97.8,2.2
7,2021,2303,-58.7,2430,269.3,210.6,27.9
8,2021,3535,33.2,637,179.6,212.8,-15.6
9,2021,4873,-54.1,695,218,163.9,33
10,2021,5871,78.4,446,84.3,162.7,-48.2
11,2021,6310,-58.4,1310,129.1,70.7,82.6
12,2021,7510,15.6,887,0.4,16,-97.5
1,2022,4181,-22.5,458,30.9,8.4,267.7
2,2022,4900,7.35,600,0.05,7.4,-99.3
3,2022,4200,9.3,288,1.4,10.7,-86.9
4,2022,5600,14.4,850,0.1,14.5,-99.32
5,2022,6632,23.4,361,34.6,58,-40.3
6,2022,6467,20.9,324,76.9,97.8,-21.4
7,2022,4535,-79.6,735,290.2,210.6,37.8
8,2022,4723,64.9,1060,147.9,212.8,-30.5
9,2022,6080,7.3,890,156.6,163.9,-4.5
10,2022,6106,-49.1,449,211.8,162.7,30.2
11,2022,4731,53.3,580,17.4,70.7,-75.4
12,2022,3865,-15.6,727,31.6,16,97.5
1,2023,5155,6.3,458,2.1,8.4,267.7
2,2023,2770,7.3,600,0.1,7.4,-99.3
3,2023,5261,-64.7,288,75.4,10.7,-86.9
4,2023,5983,-35.4,850,49.9,14.5,-99.32
5,2023,6171,-60.9,361,118.9,58,-40.3
6,2023,7650,4.6,324,93.2,97.8,-21.4
7,2023,5197,-157.53,735,368.13,210.6,37.8
1,2024,4181,-22.5,0,30.9,8.4,267.7
2,2025,4503,7.35,0,0.05,7.4,-99.3
3,2026,4633,9.3,0,1.4,10.7,-86.9
4,2027,5689,14.4,0,0.1,14.5,-99.32
5,2028,6574,23.4,0,34.6,58,-40.3
6,2029,6210,20.9,0,76.9,97.8,-21.4
7,2030,4398,-79.6,0,290.2,210.6,37.8
8,2031,4654,64.9,0,147.9,212.8,-30.5
9,2032,6082,7.3,0,156.6,163.9,-4.5
10,2033,6514,-49.1,0,211.8,162.7,30.2
11,2034,4614,53.3,0,17.4,70.7,-75.4
12,2035,3998,-15.6,0,31.6,16,97.5
