Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,2364,8.4,267,0,8.4,-100
2,2017,2364,7.4,267,0,7.4,-100
3,2017,2284,3.7,252,7,10.7,-34.6
4,2017,1013,13.5,143,1,14.5,-93.1
5,2017,919,33.5,87,24.5,58,-57.8
6,2017,1460,-69.9,382,167.7,97.8,71.5
7,2017,1419,4.4,302,206.2,210.6,-2.1
8,2017,1461,33.6,281,179.2,212.8,-15.8
9,2017,1043,66.1,191,97.8,163.9,-40.3
10,2017,1716,59.2,457,103.5,162.7,-36.4
11,2017,1630,64.2,449,6.5,70.7,-90.8
12,2017,2258,15.9,258,0.1,16,-99.4
1,2018,1645,8.4,396,0,8.4,-100
2,2018,1657,7.4,238,0,7.4,-100
3,2018,1443,6.5,97,4.2,10.7,-60.7
4,2018,1400,11.3,0,3.2,14.5,-77.9
5,2018,1448,22.4,96,35.6,58,-38.6
6,2018,1527,-45.5,151,143.3,97.8,46.5
7,2018,1758,32.8,263,177.8,210.6,-15.6
8,2018,1858,-59.6,512,272.4,212.8,28
9,2018,1243,114.1,250,49.8,163.9,-69.6
10,2018,1197,136.4,180,26.3,162.7,-83.8
11,2018,1263,51.7,1263,19,70.7,-73.1
12,2018,2145,-67.6,436,83.6,16,422.5
1,2019,2945,-9.4,354,17.8,8.4,111.9
2,2019,2857,2.2,455,5.2,7.4,-29.7
3,2019,2139,5.5,492,5.2,10.7,-51.4
4,2019,1167,9.6,130,4.9,14.5,-66.2
5,2019,1303,42.2,162,15.8,58,-72.8
6,2019,2680,51.1,682,46.7,97.8,-52.2
7,2019,2058,27,718,183.6,210.6,-12.8
8,2019,1603,37.7,496,175.1,212.8,-17.7
9,2019,1377,-25.4,251,189.3,163.9,15.5
10,2019,2203,-9.5,355,172.2,162.7,5.8
11,2019,2560,67,254,3.7,70.7,-94.8
12,2019,2000,13.5,225,2.5,16,-84.4
1,2020,1652,-2.3,236,10.7,8.4,27.4
2,2020,1779,-3.1,154,10.5,7.4,41.9
3,2020,1845,4,286,6.7,10.7,-37.4
4,2020,1773,-11.8,172,26.3,14.5,81.4
5,2020,1274,53.6,167,4.4,58,-92.4
6,2020,1210,-36.6,173,134.4,97.8,37.4
7,2020,1387,-95.4,283,306,210.6,45.3
8,2020,2139,40.9,706,171.9,212.8,-19.2
9,2020,2923,-55.6,662,219.5,163.9,33.9
10,2020,3400,-80.5,534,243.2,162.7,49.5
11,2020,1857,-41.2,478,111.9,70.7,58.3
12,2020,2184,15.4,412,0.6,16,-96.3
1,2021,2026,8.4,313,0,8.4,-100
2,2021,2643,3.1,324,4.3,7.4,-41.9
3,2021,1626,10.7,299,0,10.7,49.5
4,2021,1371,-156.6,86,171.1,14.5,58.3
5,2021,1694,-1.1,360,59.1,58,-96.3
6,2021,2610,-2.2,364,100,97.8,2.2
7,2021,2135,-58.7,316,269.3,210.6,27.9
8,2021,1232,33.2,248,179.6,212.8,-15.6
9,2021,1407,-54.1,238,218,163.9,33
10,2021,2219,78.4,494,84.3,162.7,-48.2
11,2021,3877,-58.4,704,129.1,70.7,82.6
12,2021,5535,15.6,1023,0.4,16,-97.5
1,2022,3548,-22.5,570,30.9,8.4,267.7
2,2022,2489,7.35,660,0.05,7.4,-99.3
3,2022,1465,9.3,147,1.4,10.7,-86.9
4,2022,1680,14.4,194,0.1,14.5,-99.32
5,2022,2300,23.4,535,34.6,58,-40.3
6,2022,2593,20.9,338,76.9,97.8,-21.4
7,2022,2755,-79.6,251,290.2,210.6,37.8
8,2022,1852,64.9,464,147.9,212.8,-30.5
9,2022,1857,7.3,379,156.6,163.9,-4.5
10,2022,1855,-49.1,447,211.8,162.7,30.2
11,2022,2248,53.3,214,17.4,70.7,-75.4
12,2022,3161,-15.6,894,31.6,16,97.5
1,2023,4332,6.3,570,2.1,8.4,267.7
2,2023,3756,7.3,660,0.1,7.4,-99.3
3,2023,3548,-64.7,147,75.4,10.7,-86.9
4,2023,1920,-35.4,194,49.9,14.5,-99.32
5,2023,1639,-60.9,535,118.9,58,-40.3
6,2023,2880,4.6,338,93.2,97.8,-21.4
7,2023,2906,-157.53,251,368.13,210.6,37.8
1,2024,2990,-22.5,0,30.9,8.4,267.7
2,2024,2576,7.35,0,0.05,7.4,-99.3
3,2024,1694,9.3,0,1.4,10.7,-86.9
4,2024,1763,14.4,0,0.1,14.5,-99.32
5,2024,2586,23.4,0,34.6,58,-40.3
6,2024,2590,20.9,0,76.9,97.8,-21.4
7,2024,2733,-79.6,0,290.2,210.6,37.8
8,2024,1845,64.9,0,147.9,212.8,-30.5
9,2024,1857,7.3,0,156.6,163.9,-4.5
10,2024,1855,-49.1,0,211.8,162.7,30.2
11,2024,2361,53.3,0,17.4,70.7,-75.4
12,2024,3518,-15.6,0,31.6,16,97.5
