Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,1257,8.4,92,0,8.4,-100
2,2017,1257,7.4,92,0,7.4,-100
3,2017,1852,3.7,217,7,10.7,-34.6
4,2017,2067,13.5,96,1,14.5,-93.1
5,2017,1794,33.5,190,24.5,58,-57.8
6,2017,1560,-69.9,67,167.7,97.8,71.5
7,2017,1277,4.4,99,206.2,210.6,-2.1
8,2017,1387,33.6,178,179.2,212.8,-15.8
9,2017,1587,66.1,51,97.8,163.9,-40.3
10,2017,1426,59.2,68,103.5,162.7,-36.4
11,2017,1240,64.2,81,6.5,70.7,-90.8
12,2017,1187,15.9,50,0.1,16,-99.4
1,2018,1181,8.4,60,0,8.4,-100
2,2018,1429,7.4,154,0,7.4,-100
3,2018,2587,6.5,449,4.2,10.7,-60.7
4,2018,2980,11.3,61,3.2,14.5,-77.9
5,2018,2419,22.4,463,35.6,58,-38.6
6,2018,1733,-45.5,231,143.3,97.8,46.5
7,2018,1097,32.8,154,177.8,210.6,-15.6
8,2018,1084,-59.6,161,272.4,212.8,28
9,2018,1460,114.1,150,49.8,163.9,-69.6
10,2018,1610,136.4,91,26.3,162.7,-83.8
11,2018,1540,51.7,1540,19,70.7,-73.1
12,2018,1400,-67.6,0,83.6,16,422.5
1,2019,1632,-9.4,201,17.8,8.4,111.9
2,2019,1871,2.2,146,5.2,7.4,-29.7
3,2019,2335,5.5,108,5.2,10.7,-51.4
4,2019,2667,9.6,192,4.9,14.5,-66.2
5,2019,2903,42.2,102,15.8,58,-72.8
6,2019,2960,51.1,81,46.7,97.8,-52.2
7,2019,2684,27,100,183.6,210.6,-12.8
8,2019,2735,37.7,227,175.1,212.8,-17.7
9,2019,3553,-25.4,194,189.3,163.9,15.5
10,2019,3052,-9.5,630,172.2,162.7,5.8
11,2019,1853,67,157,3.7,70.7,-94.8
12,2019,1265,13.5,140,2.5,16,-84.4
1,2020,1239,-2.3,109,10.7,8.4,27.4
2,2020,1517,-3.1,147,10.5,7.4,41.9
3,2020,1871,4,97,6.7,10.7,-37.4
4,2020,2000,-11.8,0,26.3,14.5,81.4
5,2020,2174,53.6,68,4.4,58,-92.4
6,2020,2200,-36.6,0,134.4,97.8,37.4
7,2020,1845,-95.4,99,306,210.6,45.3
8,2020,1774,40.9,198,171.9,212.8,-19.2
9,2020,2273,-55.6,290,219.5,163.9,33.9
10,2020,2310,-80.5,154,243.2,162.7,49.5
11,2020,1647,-41.2,114,111.9,70.7,58.3
12,2020,1761,15.4,250,0.6,16,-96.3
1,2021,2342,8.4,284,0,8.4,-100
2,2021,2793,3.1,168,4.3,7.4,-41.9
3,2021,3271,10.7,251,0,10.7,49.5
4,2021,4490,-156.6,241,171.1,14.5,58.3
5,2021,2826,-1.1,692,59.1,58,-96.3
6,2021,1413,-2.2,210,100,97.8,2.2
7,2021,1200,-58.7,0,269.3,210.6,27.9
8,2021,1303,33.2,102,179.6,212.8,-15.6
9,2021,1897,-54.1,248,218,163.9,33
10,2021,2400,78.4,0,84.3,162.7,-48.2
11,2021,1920,-58.4,186,129.1,70.7,82.6
12,2021,1697,15.6,114,0.4,16,-97.5
1,2022,1710,-22.5,101,30.9,8.4,267.7
2,2022,2036,7.35,145,0.05,7.4,-99.3
3,2022,3342,9.3,637,1.4,10.7,-86.9
4,2022,5560,14.4,483,0.1,14.5,-99.32
5,2022,4045,23.4,757,34.6,58,-40.3
6,2022,2473,20.9,260,76.9,97.8,-21.4
7,2022,1839,-79.6,80,290.2,210.6,37.8
8,2022,2400,64.9,200,147.9,212.8,-30.5
9,2022,3047,7.3,187,156.6,163.9,-4.5
10,2022,2239,-49.1,285,211.8,162.7,30.2
11,2022,2377,53.3,198,17.4,70.7,-75.4
12,2022,1729,-15.6,190,31.6,16,97.5
1,2023,2006,6.3,101,2.1,8.4,267.7
2,2023,2267,7.3,145,0.1,7.4,-99.3
3,2023,4465,-64.7,637,75.4,10.7,-86.9
4,2023,4800,-35.4,483,49.9,14.5,-99.32
5,2023,3581,-60.9,757,118.9,58,-40.3
6,2023,2420,4.6,260,93.2,97.8,-21.4
7,2023,2310,-157.53,80,368.13,210.6,37.8
1,2024,1820,-22.5,0,30.9,8.4,267.7
2,2025,2118,7.35,0,0.05,7.4,-99.3
3,2026,3354,9.3,0,1.4,10.7,-86.9
4,2027,5692,14.4,0,0.1,14.5,-99.32
5,2028,4146,23.4,0,34.6,58,-40.3
6,2029,2572,20.9,0,76.9,97.8,-21.4
7,2030,1984,-79.6,0,290.2,210.6,37.8
8,2031,2580,64.9,0,147.9,212.8,-30.5
9,2032,3175,7.3,0,156.6,163.9,-4.5
10,2033,2276,-49.1,0,211.8,162.7,30.2
11,2034,2445,53.3,0,17.4,70.7,-75.4
12,2035,1895,-15.6,0,31.6,16,97.5
