Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,3086,8.4,394,0,8.4,-100
2,2017,3086,7.4,394,0,7.4,-100
3,2017,2571,3.7,224,7,10.7,-34.6
4,2017,1603,13.5,201,1,14.5,-93.1
5,2017,1700,33.5,191,24.5,58,-57.8
6,2017,2523,-69.9,199,167.7,97.8,71.5
7,2017,1590,4.4,328,206.2,210.6,-2.1
8,2017,1216,33.6,225,179.2,212.8,-15.8
9,2017,1580,66.1,251,97.8,163.9,-40.3
10,2017,2100,59.2,461,103.5,162.7,-36.4
11,2017,1933,64.2,194,6.5,70.7,-90.8
12,2017,2468,15.9,215,0.1,16,-99.4
1,2018,2555,8.4,266,0,8.4,-100
2,2018,2368,7.4,313,0,7.4,-100
3,2018,2120,6.5,225,4.2,10.7,-60.7
4,2018,2520,11.3,100,3.2,14.5,-77.9
5,2018,2216,22.4,237,35.6,58,-38.6
6,2018,1930,-45.5,284,143.3,97.8,46.5
7,2018,1645,32.8,191,177.8,210.6,-15.6
8,2018,2026,-59.6,562,272.4,212.8,28
9,2018,1917,114.1,257,49.8,163.9,-69.6
10,2018,1781,136.4,289,26.3,162.7,-83.8
11,2018,1787,51.7,1787,19,70.7,-73.1
12,2018,2781,-67.6,401,83.6,16,422.5
1,2019,3652,-9.4,241,17.8,8.4,111.9
2,2019,3750,2.2,351,5.2,7.4,-29.7
3,2019,2232,5.5,436,5.2,10.7,-51.4
4,2019,1867,9.6,317,4.9,14.5,-66.2
5,2019,2600,42.2,253,15.8,58,-72.8
6,2019,2947,51.1,157,46.7,97.8,-52.2
7,2019,2977,27,285,183.6,210.6,-12.8
8,2019,2152,37.7,774,175.1,212.8,-17.7
9,2019,1590,-25.4,273,189.3,163.9,15.5
10,2019,2723,-9.5,299,172.2,162.7,5.8
11,2019,3363,67,313,3.7,70.7,-94.8
12,2019,3174,13.5,379,2.5,16,-84.4
1,2020,2245,-2.3,281,10.7,8.4,27.4
2,2020,2090,-3.1,114,10.5,7.4,41.9
3,2020,2655,4,511,6.7,10.7,-37.4
4,2020,2960,-11.8,265,26.3,14.5,81.4
5,2020,1935,53.6,381,4.4,58,-92.4
6,2020,2050,-36.6,329,134.4,97.8,37.4
7,2020,2771,-95.4,306,306,210.6,45.3
8,2020,2948,40.9,511,171.9,212.8,-19.2
9,2020,4033,-55.6,229,219.5,163.9,33.9
10,2020,4074,-80.5,393,243.2,162.7,49.5
11,2020,2953,-41.2,575,111.9,70.7,58.3
12,2020,3452,15.4,697,0.6,16,-96.3
1,2021,3000,8.4,365,0,8.4,-100
2,2021,2779,3.1,405,4.3,7.4,-41.9
3,2021,2006,10.7,216,0,10.7,49.5
4,2021,2142,-156.6,118,171.1,14.5,58.3
5,2021,2574,-1.1,291,59.1,58,-96.3
6,2021,2967,-2.2,302,100,97.8,2.2
7,2021,2287,-58.7,157,269.3,210.6,27.9
8,2021,1845,33.2,184,179.6,212.8,-15.6
9,2021,2457,-54.1,514,218,163.9,33
10,2021,2974,78.4,338,84.3,162.7,-48.2
11,2021,3980,-58.4,641,129.1,70.7,82.6
12,2021,4465,15.6,472,0.4,16,-97.5
1,2022,4445,-22.5,205,30.9,8.4,267.7
2,2022,2768,7.35,947,0.05,7.4,-99.3
3,2022,2065,9.3,239,1.4,10.7,-86.9
4,2022,2367,14.4,235,0.1,14.5,-99.32
5,2022,2210,23.4,213,34.6,58,-40.3
6,2022,3020,20.9,380,76.9,97.8,-21.4
7,2022,3726,-79.6,647,290.2,210.6,37.8
8,2022,3445,64.9,801,147.9,212.8,-30.5
9,2022,3227,7.3,692,156.6,163.9,-4.5
10,2022,2723,-49.1,257,211.8,162.7,30.2
11,2022,2921,53.3,189,17.4,70.7,-75.4
12,2022,3387,-15.6,296,31.6,16,97.5
1,2023,3916,6.3,205,2.1,8.4,267.7
2,2023,3689,7.3,947,0.1,7.4,-99.3
3,2023,3310,-64.7,239,75.4,10.7,-86.9
4,2023,3307,-35.4,235,49.9,14.5,-99.32
5,2023,2348,-60.9,213,118.9,58,-40.3
6,2023,3610,4.6,380,93.2,97.8,-21.4
7,2023,3868,-157.53,647,368.13,210.6,37.8
1,2024,3198,-22.5,0,30.9,8.4,267.7
2,2024,2561,7.35,0,0.05,7.4,-99.3
3,2024,2184,9.3,0,1.4,10.7,-86.9
4,2024,2461,14.4,0,0.1,14.5,-99.32
5,2024,2395,23.4,0,34.6,58,-40.3
6,2024,3475,20.9,0,76.9,97.8,-21.4
7,2024,3904,-79.6,0,290.2,210.6,37.8
8,2024,3572,64.9,0,147.9,212.8,-30.5
9,2024,3894,7.3,0,156.6,163.9,-4.5
10,2024,2754,-49.1,0,211.8,162.7,30.2
11,2024,2905,53.3,0,17.4,70.7,-75.4
12,2024,3484,-15.6,0,31.6,16,97.5
