Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,1071,8.4,98,0,8.4,-100
2,2017,1071,7.4,98,0,7.4,-100
3,2017,1090,3.7,101,7,10.7,-34.6
4,2017,1177,13.5,117,1,14.5,-93.1
5,2017,1394,33.5,36,24.5,58,-57.8
6,2017,1400,-69.9,0,167.7,97.8,71.5
7,2017,1039,4.4,80,206.2,210.6,-2.1
8,2017,1123,33.6,99,179.2,212.8,-15.8
9,2017,1007,66.1,123,97.8,163.9,-40.3
10,2017,1116,59.2,100,103.5,162.7,-36.4
11,2017,1027,64.2,69,6.5,70.7,-90.8
12,2017,1013,15.9,50,0.1,16,-99.4
1,2018,1103,8.4,102,0,8.4,-100
2,2018,1036,7.4,78,0,7.4,-100
3,2018,1133,6.5,96,4.2,10.7,-60.7
4,2018,1200,11.3,0,3.2,14.5,-77.9
5,2018,1271,22.4,97,35.6,58,-38.6
6,2018,1233,-45.5,76,143.3,97.8,46.5
7,2018,1142,32.8,92,177.8,210.6,-15.6
8,2018,1290,-59.6,145,272.4,212.8,28
9,2018,1200,114.1,0,49.8,163.9,-69.6
10,2018,1065,136.4,95,26.3,162.7,-83.8
11,2018,1040,51.7,1040,19,70.7,-73.1
12,2018,1052,-67.6,89,83.6,16,422.5
1,2019,1200,-9.4,0,17.8,8.4,111.9
2,2019,1407,2.2,130,5.2,7.4,-29.7
3,2019,1413,5.5,34,5.2,10.7,-51.4
4,2019,2753,9.6,875,4.9,14.5,-66.2
5,2019,1400,42.2,0,15.8,58,-72.8
6,2019,1453,51.1,51,46.7,97.8,-52.2
7,2019,1581,27,75,183.6,210.6,-12.8
8,2019,1655,37.7,234,175.1,212.8,-17.7
9,2019,1000,-25.4,0,189.3,163.9,15.5
10,2019,1271,-9.5,110,172.2,162.7,5.8
11,2019,1517,67,202,3.7,70.7,-94.8
12,2019,1458,13.5,195,2.5,16,-84.4
1,2020,1519,-2.3,40,10.7,8.4,27.4
2,2020,1500,-3.1,0,10.5,7.4,41.9
3,2020,1500,4,0,6.7,10.7,-37.4
4,2020,1500,-11.8,0,26.3,14.5,81.4
5,2020,1500,53.6,0,4.4,58,-92.4
6,2020,1500,-36.6,0,134.4,97.8,37.4
7,2020,1500,-95.4,0,306,210.6,45.3
8,2020,1555,40.9,131,171.9,212.8,-19.2
9,2020,1867,-55.6,96,219.5,163.9,33.9
10,2020,2000,-80.5,0,243.2,162.7,49.5
11,2020,1660,-41.2,233,111.9,70.7,58.3
12,2020,1823,15.4,480,0.6,16,-96.3
1,2021,2000,8.4,0,0,8.4,-100
2,2021,2000,3.1,0,4.3,7.4,-41.9
3,2021,1623,10.7,319,0,10.7,49.5
4,2021,1381,-156.6,60,171.1,14.5,58.3
5,2021,1400,-1.1,0,59.1,58,-96.3
6,2021,1540,-2.2,93,100,97.8,2.2
7,2021,1619,-58.7,60,269.3,210.6,27.9
8,2021,1548,33.2,112,179.6,212.8,-15.6
9,2021,1453,-54.1,51,218,163.9,33
10,2021,1481,78.4,40,84.3,162.7,-48.2
11,2021,1887,-58.4,329,129.1,70.7,82.6
12,2021,2403,15.6,143,0.4,16,-97.5
1,2022,1926,-22.5,241,30.9,8.4,267.7
2,2022,1864,7.35,202,0.05,7.4,-99.3
3,2022,1426,9.3,68,1.4,10.7,-86.9
4,2022,1500,14.4,102,0.1,14.5,-99.32
5,2022,1600,23.4,0,34.6,58,-40.3
6,2022,1600,20.9,0,76.9,97.8,-21.4
7,2022,1935,-79.6,196,290.2,210.6,37.8
8,2022,1952,64.9,150,147.9,212.8,-30.5
9,2022,1887,7.3,193,156.6,163.9,-4.5
10,2022,1974,-49.1,68,211.8,162.7,30.2
11,2022,1691,53.3,123,17.4,70.7,-75.4
12,2022,1794,-15.6,167,31.6,16,97.5
1,2023,1916,6.3,241,2.1,8.4,267.7
2,2023,2000,7.3,202,0.1,7.4,-99.3
3,2023,2026,-64.7,68,75.4,10.7,-86.9
4,2023,1900,-35.4,102,49.9,14.5,-99.32
5,2023,2323,-60.9,0,118.9,58,-40.3
6,2023,2500,4.6,0,93.2,97.8,-21.4
7,2023,2500,-157.53,196,368.13,210.6,37.8
1,2024,1994,-22.5,0,30.9,8.4,267.7
2,2024,1875,7.35,0,0.05,7.4,-99.3
3,2024,1585,9.3,0,1.4,10.7,-86.9
4,2024,1500,14.4,0,0.1,14.5,-99.32
5,2024,1610,23.4,0,34.6,58,-40.3
6,2024,1670,20.9,0,76.9,97.8,-21.4
7,2024,1845,-79.6,0,290.2,210.6,37.8
8,2024,2045,64.9,0,147.9,212.8,-30.5
9,2024,1990,7.3,0,156.6,163.9,-4.5
10,2024,1953,-49.1,0,211.8,162.7,30.2
11,2024,1786,53.3,0,17.4,70.7,-75.4
12,2024,1890,-15.6,0,31.6,16,97.5
