Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,1557,8.4,92,0,8.4,-100
2,2017,1557,7.4,92,0,7.4,-100
3,2017,1571,3.7,46,7,10.7,-34.6
4,2017,1600,13.5,0,1,14.5,-93.1
5,2017,1852,33.5,146,24.5,58,-57.8
6,2017,2133,-69.9,192,167.7,97.8,71.5
7,2017,2168,4.4,105,206.2,210.6,-2.1
8,2017,2526,33.6,188,179.2,212.8,-15.8
9,2017,2800,66.1,0,97.8,163.9,-40.3
10,2017,2381,59.2,244,103.5,162.7,-36.4
11,2017,1713,64.2,136,6.5,70.7,-90.8
12,2017,1910,15.9,185,0.1,16,-99.4
1,2018,1974,8.4,132,0,8.4,-100
2,2018,1432,7.4,48,0,7.4,-100
3,2018,1333,6.5,96,4.2,10.7,-60.7
4,2018,1287,11.3,101,3.2,14.5,-77.9
5,2018,1245,22.4,85,35.6,58,-38.6
6,2018,1580,-45.5,61,143.3,97.8,46.5
7,2018,1774,32.8,161,177.8,210.6,-15.6
8,2018,2200,-59.6,0,272.4,212.8,28
9,2018,2247,114.1,86,49.8,163.9,-69.6
10,2018,1994,136.4,182,26.3,162.7,-83.8
11,2018,1833,51.7,1833,19,70.7,-73.1
12,2018,1897,-67.6,125,83.6,16,422.5
1,2019,2123,-9.4,133,17.8,8.4,111.9
2,2019,1879,2.2,157,5.2,7.4,-29.7
3,2019,1774,5.5,68,5.2,10.7,-51.4
4,2019,1680,9.6,100,4.9,14.5,-66.2
5,2019,1948,42.2,89,15.8,58,-72.8
6,2019,2420,51.1,354,46.7,97.8,-52.2
7,2019,2710,27,101,183.6,210.6,-12.8
8,2019,2529,37.7,97,175.1,212.8,-17.7
9,2019,2447,-25.4,125,189.3,163.9,15.5
10,2019,2761,-9.5,216,172.2,162.7,5.8
11,2019,2487,67,155,3.7,70.7,-94.8
12,2019,2206,13.5,141,2.5,16,-84.4
1,2020,2181,-2.3,60,10.7,8.4,27.4
2,2020,2455,-3.1,168,10.5,7.4,41.9
3,2020,2413,4,72,6.7,10.7,-37.4
4,2020,2400,-11.8,0,26.3,14.5,81.4
5,2020,2416,53.6,37,4.4,58,-92.4
6,2020,2717,-36.6,231,134.4,97.8,37.4
7,2020,2413,-95.4,50,306,210.6,45.3
8,2020,2477,40.9,99,171.9,212.8,-19.2
9,2020,2907,-55.6,146,219.5,163.9,33.9
10,2020,2897,-80.5,102,243.2,162.7,49.5
11,2020,2347,-41.2,222,111.9,70.7,58.3
12,2020,2206,15.4,904,0.6,16,-96.3
1,2021,2000,8.4,0,0,8.4,-100
2,2021,2000,3.1,0,4.3,7.4,-41.9
3,2021,2032,10.7,75,0,10.7,49.5
4,2021,2200,-156.6,0,171.1,14.5,58.3
5,2021,2194,-1.1,36,59.1,58,-96.3
6,2021,2553,-2.2,245,100,97.8,2.2
7,2021,2800,-58.7,0,269.3,210.6,27.9
8,2021,2800,33.2,0,179.6,212.8,-15.6
9,2021,2887,-54.1,101,218,163.9,33
10,2021,2929,78.4,172,84.3,162.7,-48.2
11,2021,2360,-58.4,104,129.1,70.7,82.6
12,2021,2400,15.6,0,0.4,16,-97.5
1,2022,2452,-22.5,89,30.9,8.4,267.7
2,2022,2571,7.35,71,0.05,7.4,-99.3
3,2022,2400,9.3,0,1.4,10.7,-86.9
4,2022,2400,14.4,0,0.1,14.5,-99.32
5,2022,2484,23.4,100,34.6,58,-40.3
6,2022,2840,20.9,199,76.9,97.8,-21.4
7,2022,3000,-79.6,0,290.2,210.6,37.8
8,2022,3361,64.9,120,147.9,212.8,-30.5
9,2022,3253,7.3,196,156.6,163.9,-4.5
10,2022,2994,-49.1,36,211.8,162.7,30.2
11,2022,2533,53.3,172,17.4,70.7,-75.4
12,2022,2535,-15.6,196,31.6,16,97.5
1,2023,3000,6.3,89,2.1,8.4,267.7
2,2023,2593,7.3,71,0.1,7.4,-99.3
3,2023,2306,-64.7,0,75.4,10.7,-86.9
4,2023,1840,-35.4,0,49.9,14.5,-99.32
5,2023,2039,-60.9,100,118.9,58,-40.3
6,2023,2580,4.6,199,93.2,97.8,-21.4
7,2023,3226,-157.53,0,368.13,210.6,37.8
1,2024,2600,-22.5,0,30.9,8.4,267.7
2,2024,2700,7.35,0,0.05,7.4,-99.3
3,2024,2400,9.3,0,1.4,10.7,-86.9
4,2024,2400,14.4,0,0.1,14.5,-99.32
5,2024,2400,23.4,0,34.6,58,-40.3
6,2024,2840,20.9,0,76.9,97.8,-21.4
7,2024,3000,-79.6,0,290.2,210.6,37.8
8,2024,3400,64.9,0,147.9,212.8,-30.5
9,2024,3200,7.3,0,156.6,163.9,-4.5
10,2024,2990,-49.1,0,211.8,162.7,30.2
11,2024,2510,53.3,0,17.4,70.7,-75.4
12,2024,2535,-15.6,0,31.6,16,97.5
