Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,2221,8.4,175,0,8.4,-100
2,2017,2221,7.4,175,0,7.4,-100
3,2017,2710,3.7,361,7,10.7,-34.6
4,2017,2757,13.5,68,1,14.5,-93.1
5,2017,2535,33.5,84,24.5,58,-57.8
6,2017,2510,-69.9,76,167.7,97.8,71.5
7,2017,2297,4.4,166,206.2,210.6,-2.1
8,2017,2548,33.6,68,179.2,212.8,-15.8
9,2017,2263,66.1,81,97.8,163.9,-40.3
10,2017,2374,59.2,150,103.5,162.7,-36.4
11,2017,2573,64.2,117,6.5,70.7,-90.8
12,2017,3090,15.9,156,0.1,16,-99.4
1,2018,3297,8.4,95,0,8.4,-100
2,2018,3300,7.4,168,0,7.4,-100
3,2018,3587,6.5,174,4.2,10.7,-60.7
4,2018,3160,11.3,259,3.2,14.5,-77.9
5,2018,2835,22.4,123,35.6,58,-38.6
6,2018,2517,-45.5,197,143.3,97.8,46.5
7,2018,2355,32.8,106,177.8,210.6,-15.6
8,2018,2174,-59.6,86,272.4,212.8,28
9,2018,2147,114.1,90,49.8,163.9,-69.6
10,2018,2071,136.4,122,26.3,162.7,-83.8
11,2018,1967,51.7,1967,19,70.7,-73.1
12,2018,2110,-67.6,114,83.6,16,422.5
1,2019,2429,-9.4,69,17.8,8.4,111.9
2,2019,2639,2.2,171,5.2,7.4,-29.7
3,2019,2826,5.5,86,5.2,10.7,-51.4
4,2019,2847,9.6,86,4.9,14.5,-66.2
5,2019,2923,42.2,96,15.8,58,-72.8
6,2019,2700,51.1,172,46.7,97.8,-52.2
7,2019,2781,27,158,183.6,210.6,-12.8
8,2019,2981,37.7,79,175.1,212.8,-17.7
9,2019,2913,-25.4,101,189.3,163.9,15.5
10,2019,2848,-9.5,93,172.2,162.7,5.8
11,2019,2737,67,201,3.7,70.7,-94.8
12,2019,2665,13.5,136,2.5,16,-84.4
1,2020,2794,-2.3,96,10.7,8.4,27.4
2,2020,3290,-3.1,202,10.5,7.4,41.9
3,2020,3735,4,95,6.7,10.7,-37.4
4,2020,3540,-11.8,167,26.3,14.5,81.4
5,2020,3303,53.6,154,4.4,58,-92.4
6,2020,2753,-36.6,187,134.4,97.8,37.4
7,2020,2555,-95.4,85,306,210.6,45.3
8,2020,2400,40.9,0,171.9,212.8,-19.2
9,2020,2400,-55.6,0,219.5,163.9,33.9
10,2020,2400,-80.5,0,243.2,162.7,49.5
11,2020,2327,-41.2,98,111.9,70.7,58.3
12,2020,2342,15.4,1337,0.6,16,-96.3
1,2021,2271,8.4,132,0,8.4,-100
2,2021,2457,3.1,92,4.3,7.4,-41.9
3,2021,2310,10.7,101,0,10.7,49.5
4,2021,2194,-156.6,131,171.1,14.5,58.3
5,2021,2168,-1.1,147,59.1,58,-96.3
6,2021,2187,-2.2,104,100,97.8,2.2
7,2021,1690,-58.7,125,269.3,210.6,27.9
8,2021,1600,33.2,0,179.6,212.8,-15.6
9,2021,1640,-54.1,81,218,163.9,33
10,2021,1632,78.4,75,84.3,162.7,-48.2
11,2021,2377,-58.4,430,129.1,70.7,82.6
12,2021,2742,15.6,92,0.4,16,-97.5
1,2022,2419,-22.5,60,30.9,8.4,267.7
2,2022,2557,7.35,148,0.05,7.4,-99.3
3,2022,3565,9.3,372,1.4,10.7,-86.9
4,2022,3893,14.4,101,0.1,14.5,-99.32
5,2022,3761,23.4,80,34.6,58,-40.3
6,2022,3367,20.9,183,76.9,97.8,-21.4
7,2022,3168,-79.6,128,290.2,210.6,37.8
8,2022,3374,64.9,68,147.9,212.8,-30.5
9,2022,3280,7.3,124,156.6,163.9,-4.5
10,2022,3058,-49.1,157,211.8,162.7,30.2
11,2022,2600,53.3,245,17.4,70.7,-75.4
12,2022,3968,-15.6,394,31.6,16,97.5
1,2023,4729,6.3,60,2.1,8.4,267.7
2,2023,4993,7.3,148,0.1,7.4,-99.3
3,2023,5142,-64.7,372,75.4,10.7,-86.9
4,2023,5037,-35.4,101,49.9,14.5,-99.32
5,2023,3626,-60.9,80,118.9,58,-40.3
6,2023,3473,4.6,183,93.2,97.8,-21.4
7,2023,3432,-157.53,128,368.13,210.6,37.8
1,2024,2400,-22.5,0,30.9,8.4,267.7
2,2024,2560,7.35,0,0.05,7.4,-99.3
3,2024,3560,9.3,0,1.4,10.7,-86.9
4,2024,3600,14.4,0,0.1,14.5,-99.32
5,2024,3761,23.4,0,34.6,58,-40.3
6,2024,3367,20.9,0,76.9,97.8,-21.4
7,2024,3168,-79.6,0,290.2,210.6,37.8
8,2024,3374,64.9,0,147.9,212.8,-30.5
9,2024,3280,7.3,0,156.6,163.9,-4.5
10,2024,3058,-49.1,0,211.8,162.7,30.2
11,2024,2600,53.3,0,17.4,70.7,-75.4
12,2024,3968,-15.6,0,31.6,16,97.5
