Month,Year,Price,Rainfall,StdevPrice,ActualRainfall,NormalRainfall,StdevRainfall
1,2017,1879,8.4,239,0,8.4,-100
2,2017,1879,7.4,239,0,7.4,-100
3,2017,1394,3.7,81,7,10.7,-34.6
4,2017,1080,13.5,171,1,14.5,-93.1
5,2017,977,33.5,50,24.5,58,-57.8
6,2017,1113,-69.9,133,167.7,97.8,71.5
7,2017,1294,4.4,206,206.2,210.6,-2.1
8,2017,1310,33.6,271,179.2,212.8,-15.8
9,2017,967,66.1,76,97.8,163.9,-40.3
10,2017,1116,59.2,116,103.5,162.7,-36.4
11,2017,1033,64.2,61,6.5,70.7,-90.8
12,2017,1632,15.9,241,0.1,16,-99.4
1,2018,1555,8.4,211,0,8.4,-100
2,2018,1432,7.4,90,0,7.4,-100
3,2018,1290,6.5,96,4.2,10.7,-60.7
4,2018,1113,11.3,97,3.2,14.5,-77.9
5,2018,1352,22.4,167,35.6,58,-38.6
6,2018,1160,-45.5,81,143.3,97.8,46.5
7,2018,1148,32.8,152,177.8,210.6,-15.6
8,2018,1555,-59.6,291,272.4,212.8,28
9,2018,1750,114.1,320,49.8,163.9,-69.6
10,2018,1516,136.4,197,26.3,162.7,-83.8
11,2018,1110,51.7,1110,19,70.7,-73.1
12,2018,1042,-67.6,72,83.6,16,422.5
1,2019,1435,-9.4,174,17.8,8.4,111.9
2,2019,1718,2.2,174,5.2,7.4,-29.7
3,2019,1842,5.5,287,5.2,10.7,-51.4
4,2019,1013,9.6,73,4.9,14.5,-66.2
5,2019,1181,42.2,174,15.8,58,-72.8
6,2019,1777,51.1,320,46.7,97.8,-52.2
7,2019,1977,27,206,183.6,210.6,-12.8
8,2019,1658,37.7,288,175.1,212.8,-17.7
9,2019,1020,-25.4,61,189.3,163.9,15.5
10,2019,1123,-9.5,161,172.2,162.7,5.8
11,2019,1653,67,155,3.7,70.7,-94.8
12,2019,1781,13.5,154,2.5,16,-84.4
1,2020,2058,-2.3,92,10.7,8.4,27.4
2,2020,1717,-3.1,249,10.5,7.4,41.9
3,2020,1252,4,226,6.7,10.7,-37.4
4,2020,1280,-11.8,233,26.3,14.5,81.4
5,2020,1000,53.6,0,4.4,58,-92.4
6,2020,1000,-36.6,0,134.4,97.8,37.4
7,2020,1187,-95.4,225,306,210.6,45.3
8,2020,2252,40.9,163,171.9,212.8,-19.2
9,2020,2273,-55.6,98,219.5,163.9,33.9
10,2020,2245,-80.5,123,243.2,162.7,49.5
11,2020,1590,-41.2,243,111.9,70.7,58.3
12,2020,1887,15.4,287,0.6,16,-96.3
1,2021,2116,8.4,389,0,8.4,-100
2,2021,1507,3.1,136,4.3,7.4,-41.9
3,2021,1200,10.7,0,0,10.7,49.5
4,2021,1200,-156.6,0,171.1,14.5,58.3
5,2021,1300,-1.1,115,59.1,58,-96.3
6,2021,1693,-2.2,101,100,97.8,2.2
7,2021,1777,-58.7,72,269.3,210.6,27.9
8,2021,1239,33.2,92,179.6,212.8,-15.6
9,2021,1187,-54.1,51,218,163.9,33
10,2021,1571,78.4,333,84.3,162.7,-48.2
11,2021,2790,-58.4,493,129.1,70.7,82.6
12,2021,3981,15.6,233,0.4,16,-97.5
1,2022,2271,-22.5,251,30.9,8.4,267.7
2,2022,2061,7.35,262,0.05,7.4,-99.3
3,2022,1290,9.3,101,1.4,10.7,-86.9
4,2022,1200,14.4,0,0.1,14.5,-99.32
5,2022,1423,23.4,150,34.6,58,-40.3
6,2022,1490,20.9,96,76.9,97.8,-21.4
7,2022,1484,-79.6,97,290.2,210.6,37.8
8,2022,1565,64.9,156,147.9,212.8,-30.5
9,2022,1467,7.3,130,156.6,163.9,-4.5
10,2022,1677,-49.1,341,211.8,162.7,30.2
11,2022,1692,53.3,124,17.4,70.7,-75.4
12,2022,2006,-15.6,421,31.6,16,97.5
1,2023,2935,6.3,251,2.1,8.4,267.7
2,2023,2919,7.3,262,0.1,7.4,-99.3
3,2023,3697,-64.7,101,75.4,10.7,-86.9
4,2023,2153,-35.4,0,49.9,14.5,-99.32
5,2023,1510,-60.9,150,118.9,58,-40.3
6,2023,1860,4.6,96,93.2,97.8,-21.4
7,2023,2716,-157.53,97,368.13,210.6,37.8
1,2024,2271,-22.5,0,30.9,8.4,267.7
2,2024,2061,7.35,0,0.05,7.4,-99.3
3,2024,1290,9.3,0,1.4,10.7,-86.9
4,2024,1200,14.4,0,0.1,14.5,-99.32
5,2024,1423,23.4,0,34.6,58,-40.3
6,2024,1490,20.9,0,76.9,97.8,-21.4
7,2024,1484,-79.6,0,290.2,210.6,37.8
8,2024,1565,64.9,0,147.9,212.8,-30.5
9,2024,1467,7.3,0,156.6,163.9,-4.5
10,2024,1677,-49.1,0,211.8,162.7,30.2
11,2024,1692,53.3,0,17.4,70.7,-75.4
12,2024,2006,-15.6,0,31.6,16,97.5
